"subject","eventN","eventCode","timeS","samplingPoint","trial","trialExcluded","eventCodeNew"
21,1,93,4.498047,2304,1,1,-999
21,2,53,6.015625,3081,1,1,-999
21,3,10,7.865234,4028,1,1,-999
21,4,94,9.298828,4762,2,0,94
21,5,52,10.81641,5539,2,0,52
21,6,210,11.38477,5830,2,0,210
21,7,110,12.33203,6315,2,0,110
21,8,92,14.06641,7203,3,0,92
21,9,52,15.58203,7979,3,0,52
21,10,200,16.35938,8377,3,0,200
21,11,10,17.26562,8841,3,0,10
21,12,93,19.13281,9797,4,0,93
21,13,52,20.65039,10574,4,0,52
21,14,210,21.18555,10848,4,0,210
21,15,20,22.11719,11325,4,0,20
21,16,94,23.90039,12238,5,0,94
21,17,52,25.41797,13015,5,0,52
21,18,210,26.16211,13396,5,0,210
21,19,110,27.05078,13851,5,0,110
21,20,92,28.76758,14730,6,0,92
21,21,52,30.2832,15506,6,0,52
21,22,210,31.19336,15972,6,0,210
21,23,110,32.15039,16462,6,0,110
21,24,92,33.68555,17248,7,1,-999
21,25,52,35.20117,18024,7,1,-999
21,26,10,37.03516,18963,7,1,-999
21,27,92,38.78516,19859,8,0,92
21,28,53,40.30078,20635,8,0,53
21,29,200,41.13281,21061,8,0,200
21,30,110,42.10156,21557,8,0,110
21,31,93,43.71875,22385,9,1,-999
21,32,52,45.23633,23162,9,1,-999
21,33,10,47.06836,24100,9,1,-999
21,34,91,48.75195,24962,10,1,-999
21,35,52,50.26953,25739,10,1,-999
21,36,10,52.10352,26678,10,1,-999
21,37,94,53.85352,27574,11,0,94
21,38,52,55.36914,28350,11,0,52
21,39,200,56.33203,28843,11,0,200
21,40,10,57.25391,29315,11,0,10
21,41,94,58.57031,29989,12,0,94
21,42,53,60.08594,30765,12,0,53
21,43,200,60.98633,31226,12,0,200
21,44,10,61.85352,31670,12,0,10
21,45,92,63.23633,32378,13,0,92
21,46,52,64.75391,33155,13,0,52
21,47,200,65.48633,33530,13,0,200
21,48,10,66.4043,34000,13,0,10
21,49,94,68.03711,34836,14,1,-999
21,50,53,69.55469,35613,14,1,-999
21,51,10,71.38867,36552,14,1,-999
21,52,92,72.95508,37354,15,1,-999
21,53,52,74.4707,38130,15,1,-999
21,54,10,76.30469,39069,15,1,-999
21,55,92,78.05469,39965,16,0,92
21,56,52,79.57227,40742,16,0,52
21,57,210,80.18945,41058,16,0,210
21,58,110,81.10547,41527,16,0,110
21,59,93,82.92188,42457,17,0,93
21,60,52,84.43945,43234,17,0,52
21,61,200,85.27344,43661,17,0,200
21,62,10,86.18945,44130,17,0,10
21,63,93,88.05664,45086,18,0,93
21,64,52,89.57227,45862,18,0,52
21,65,210,90.34766,46259,18,0,210
21,66,10,91.30664,46750,18,0,10
21,67,93,92.93945,47586,19,0,93
21,68,52,94.45703,48363,19,0,52
21,69,200,95.28516,48787,19,0,200
21,70,10,96.24023,49276,19,0,10
21,71,92,97.62305,49984,20,1,-999
21,72,52,99.14062,50761,20,1,-999
21,73,10,100.9746,51700,20,1,-999
21,74,93,102.6074,52536,21,0,93
21,75,53,104.125,53313,21,0,53
21,76,210,104.959,53740,21,0,210
21,77,10,105.9082,54226,21,0,10
21,78,91,107.541,55062,22,1,-999
21,79,51,109.0586,55839,22,1,-999
21,80,10,110.8906,56777,22,1,-999
21,81,91,112.3574,57528,23,0,91
21,82,53,113.875,58305,23,0,53
21,83,200,114.8516,58805,23,0,200
21,84,10,115.8086,59295,23,0,10
21,85,92,117.3086,60063,24,0,92
21,86,52,118.8262,60840,24,0,52
21,87,200,119.6426,61258,24,0,200
21,88,10,120.5918,61744,24,0,10
21,89,91,122.209,62572,25,0,91
21,90,53,123.7266,63349,25,0,53
21,91,210,124.6973,63846,25,0,210
21,92,10,125.6094,64313,25,0,10
21,93,92,127.0762,65064,26,0,92
21,94,52,128.5918,65840,26,0,52
21,95,210,129.3008,66203,26,0,210
21,96,10,130.2422,66685,26,0,10
21,97,92,131.7598,67462,27,0,92
21,98,52,133.2773,68239,27,0,52
21,99,210,134.1543,68688,27,0,210
21,100,10,135.0938,69169,27,0,10
21,101,94,136.8613,70074,28,0,94
21,102,51,138.377,70850,28,0,51
21,103,200,139.25,71297,28,0,200
21,104,10,140.2266,71797,28,0,10
21,105,92,141.7949,72600,29,0,92
21,106,53,143.3105,73376,29,0,53
21,107,210,144.3105,73888,29,0,210
21,108,10,145.2441,74366,29,0,10
21,109,94,146.5781,75049,30,1,-999
21,110,52,148.0938,75825,30,1,-999
21,111,10,149.9277,76764,30,1,-999
21,112,93,151.5781,77609,31,0,93
21,113,51,153.0957,78386,31,0,51
21,114,200,153.8809,78788,31,0,200
21,115,10,154.8457,79282,31,0,10
21,116,94,156.3457,80050,32,0,94
21,117,53,157.8613,80826,32,0,53
21,118,200,158.5781,81193,32,0,200
21,119,10,159.5449,81688,32,0,10
21,120,91,161.1797,82525,33,0,91
21,121,52,162.6953,83301,33,0,52
21,122,210,163.3223,83622,33,0,210
21,123,10,164.2793,84112,33,0,10
21,124,94,165.9121,84948,34,0,94
21,125,53,167.4297,85725,34,0,53
21,126,200,168.4336,86239,34,0,200
21,127,10,169.3301,86698,34,0,10
21,128,91,170.7461,87423,35,1,-999
21,129,52,172.2637,88200,35,1,-999
