event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1052.0,-4.667623124007351,5.0418902873686875,34,10.1,1300,0.5121938360312968
cue,91,91.0,1.0,1655.0,-4.667623124007351,4.068362123615448,34,10.1,1300,0.5121938360312968
stimulus,51,51.0,1.0,3171.0,-4.667623124007351,7.768172537306173,34,10.1,1300,0.5121938360312968
response,210,210.0,1.0,4060.0,-4.667623124007351,5.900067671598464,34,10.1,1300,0.5121938360312968
feedback,10,10.0,1.0,5053.0,-4.667623124007351,6.092417820577556,34,10.1,1300,0.5121938360312968
fixation,TRIALID 2,0.002,2.0,5826.0,-4.667623124007351,3.482841669217574,34,10.1,1300,0.5121938360312968
cue,92,92.0,2.0,6672.0,-4.667623124007351,5.9856915309268715,34,10.1,1300,0.5121938360312968
stimulus,53,53.0,2.0,8188.0,-4.667623124007351,7.7048181860877,34,10.1,1300,0.5121938360312968
response,210,210.0,2.0,8837.0,-4.667623124007351,3.7391340736935526,34,10.1,1300,0.5121938360312968
feedback,110,110.0,2.0,9738.0,-4.667623124007351,7.364912544275513,34,10.1,1300,0.5121938360312968
fixation,TRIALID 3,0.003,3.0,10811.0,-4.667623124007351,6.387108245085583,34,10.1,1300,0.5121938360312968
cue,94,94.0,3.0,11772.0,-4.667623124007351,6.64139992031857,34,10.1,1300,0.5121938360312968
stimulus,52,52.0,3.0,13288.0,-4.667623124007351,8.132032888317394,34,10.1,1300,0.5121938360312968
response,200,200.0,3.0,14023.0,-4.667623124007351,4.948328196361177,34,10.1,1300,0.5121938360312968
feedback,10,10.0,3.0,14971.0,-4.667623124007351,7.2200538803960175,34,10.1,1300,0.5121938360312968
fixation,TRIALID 4,0.004,4.0,15896.0,-4.667623124007351,3.4118981121814023,34,10.1,1300,0.5121938360312968
cue,91,91.0,4.0,16588.0,-4.667623124007351,6.411104286199907,34,10.1,1300,0.5121938360312968
stimulus,53,53.0,4.0,18104.0,-4.667623124007351,7.904721509674674,34,10.1,1300,0.5121938360312968
response,200,200.0,4.0,18819.0,-4.667623124007351,3.9628613350269752,34,10.1,1300,0.5121938360312968
feedback,10,10.0,4.0,19721.0,-4.667623124007351,6.998292714078456,34,10.1,1300,0.5121938360312968
fixation,TRIALID 5,0.005,5.0,20710.0,-4.667623124007351,3.155813594601791,34,10.1,1300,0.5121938360312968
cue,92,92.0,5.0,21320.0,-4.667623124007351,6.550821029250579,34,10.1,1300,0.5121938360312968
stimulus,52,52.0,5.0,22838.0,-4.667623124007351,8.07636390330621,34,10.1,1300,0.5121938360312968
response,210,210.0,5.0,23570.0,-4.667623124007351,4.418165289633177,34,10.1,1300,0.5121938360312968
feedback,110,110.0,5.0,24488.0,-4.667623124007351,7.3122564176465294,34,10.1,1300,0.5121938360312968
fixation,TRIALID 6,0.006,6.0,25451.0,-4.667623124007351,3.155711298351773,34,10.1,1300,0.5121938360312968
cue,94,94.0,6.0,26072.0,-4.667623124007351,5.564084957143745,34,10.1,1300,0.5121938360312968
stimulus,51,51.0,6.0,27589.0,-4.667623124007351,7.728554627760938,34,10.1,1300,0.5121938360312968
response,210,210.0,6.0,28531.0,-4.667623124007351,5.490905732315249,34,10.1,1300,0.5121938360312968
feedback,10,10.0,6.0,29488.0,-4.667623124007351,6.111497245430209,34,10.1,1300,0.5121938360312968
fixation,TRIALID 7,0.007,7.0,30257.0,-4.667623124007351,5.280948469649576,34,10.1,1300,0.5121938360312968
cue,92,92.0,7.0,31206.0,-4.667623124007351,7.4093312927386545,34,10.1,1300,0.5121938360312968
stimulus,51,51.0,7.0,32722.0,-4.667623124007351,8.266678615656257,34,10.1,1300,0.5121938360312968
response,200,200.0,7.0,33553.0,-4.667623124007351,4.592815874949484,34,10.1,1300,0.5121938360312968
feedback,10,10.0,7.0,34438.0,-4.667623124007351,6.767764783600991,34,10.1,1300,0.5121938360312968
fixation,TRIALID 8,0.008,8.0,35327.0,-4.667623124007351,4.33612600277568,34,10.1,1300,0.5121938360312968
cue,94,94.0,8.0,36172.0,-4.667623124007351,6.4564007530102465,34,10.1,1300,0.5121938360312968
stimulus,52,52.0,8.0,37689.0,-4.667623124007351,8.073122504568994,34,10.1,1300,0.5121938360312968
response,200,200.0,8.0,38596.0,-4.667623124007351,5.557445850626142,34,10.1,1300,0.5121938360312968
feedback,10,10.0,8.0,39472.0,-4.667623124007351,5.613829535267182,34,10.1,1300,0.5121938360312968
fixation,TRIALID 9,0.009,9.0,40294.0,-4.667623124007351,3.3943445055606443,34,10.1,1300,0.5121938360312968
cue,94,94.0,9.0,41024.0,-4.667623124007351,5.931974519960036,34,10.1,1300,0.5121938360312968
stimulus,53,53.0,9.0,42539.0,-4.667623124007351,7.406490220858659,34,10.1,1300,0.5121938360312968
response,200,200.0,9.0,43227.0,-4.667623124007351,3.926623280950866,34,10.1,1300,0.5121938360312968
feedback,10,10.0,9.0,44139.0,-4.667623124007351,6.47436723233356,34,10.1,1300,0.5121938360312968
fixation,TRIALID 10,0.01,10.0,45140.0,-4.667623124007351,4.735568075267542,34,10.1,1300,0.5121938360312968
cue,91,91.0,10.0,45989.0,-4.667623124007351,6.6948569480966675,34,10.1,1300,0.5121938360312968
stimulus,52,52.0,10.0,47505.0,-4.667623124007351,10.217626098643189,34,10.1,1300,0.5121938360312968
feedback,10,10.0,10.0,49339.0,-4.667623124007351,8.345399766367626,34,10.1,1300,0.5121938360312968
fixation,TRIALID 11,0.011,11.0,50107.0,-4.667623124007351,1.0660121087021204,34,10.1,1300,0.5121938360312968
cue,92,92.0,11.0,50656.0,-4.667623124007351,7.297950315239024,34,10.1,1300,0.5121938360312968
stimulus,51,51.0,11.0,52172.0,-4.667623124007351,7.981757137470439,34,10.1,1300,0.5121938360312968
response,210,210.0,11.0,52981.0,-4.667623124007351,4.929609007595966,34,10.1,1300,0.5121938360312968
feedback,10,10.0,11.0,53923.0,-4.667623124007351,6.140448687887303,34,10.1,1300,0.5121938360312968
fixation,TRIALID 12,0.012,12.0,54786.0,-4.667623124007351,2.400885773037193,34,10.1,1300,0.5121938360312968
cue,91,91.0,12.0,55323.0,-4.667623124007351,5.372073749876984,34,10.1,1300,0.5121938360312968
stimulus,51,51.0,12.0,56839.0,-4.667623124007351,7.73381777753078,34,10.1,1300,0.5121938360312968
response,200,200.0,12.0,57809.0,-4.667623124007351,6.02438271466735,34,10.1,1300,0.5121938360312968
