event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1039.0,-4.486658907760621,6.332426726606685,62,10.1,1300,0.5008373994578157
cue,91,91.0,1.0,1738.0,-4.486658907760621,5.9198514836398095,62,10.1,1300,0.5008373994578157
stimulus,52,52.0,1.0,3254.0,-4.486658907760621,7.947086730796292,62,10.1,1300,0.5008373994578157
response,200,200.0,1.0,4132.0,-4.486658907760621,6.034344225155947,62,10.1,1300,0.5008373994578157
feedback,10,10.0,1.0,5054.0,-4.486658907760621,6.533140400611379,62,10.1,1300,0.5008373994578157
fixation,TRIALID 2,0.002,2.0,5881.0,-4.486658907760621,5.777642271599823,62,10.1,1300,0.5008373994578157
cue,91,91.0,2.0,6888.0,-4.486658907760621,8.480368648769025,62,10.1,1300,0.5008373994578157
stimulus,52,52.0,2.0,8404.0,-4.486658907760621,7.793000557373126,62,10.1,1300,0.5008373994578157
response,210,210.0,2.0,8855.0,-4.486658907760621,1.7677824712749255,62,10.1,1300,0.5008373994578157
feedback,10,10.0,2.0,9771.0,-4.486658907760621,7.905400309422517,62,10.1,1300,0.5008373994578157
fixation,TRIALID 3,0.003,3.0,11023.0,-4.486658907760621,6.257218136582448,62,10.1,1300,0.5008373994578157
cue,93,93.0,3.0,11854.0,-4.486658907760621,6.577265523426151,62,10.1,1300,0.5008373994578157
stimulus,51,51.0,3.0,13371.0,-4.486658907760621,8.793648988339148,62,10.1,1300,0.5008373994578157
feedback,10,10.0,3.0,15205.0,-4.486658907760621,8.018513919560739,62,10.1,1300,0.5008373994578157
fixation,TRIALID 4,0.004,4.0,15971.0,-4.486658907760621,3.376479527068128,62,10.1,1300,0.5008373994578157
cue,92,92.0,4.0,16805.0,-4.486658907760621,7.724354737934903,62,10.1,1300,0.5008373994578157
stimulus,53,53.0,4.0,18321.0,-4.486658907760621,7.125717522536253,62,10.1,1300,0.5008373994578157
response,210,210.0,4.0,18966.0,-4.486658907760621,3.8124674070342564,62,10.1,1300,0.5008373994578157
feedback,10,10.0,4.0,19872.0,-4.486658907760621,7.475821713764278,62,10.1,1300,0.5008373994578157
fixation,TRIALID 5,0.005,5.0,20920.0,-4.486658907760621,5.711175987708362,62,10.1,1300,0.5008373994578157
cue,94,94.0,5.0,21805.0,-4.486658907760621,7.170969218105523,62,10.1,1300,0.5008373994578157
stimulus,51,51.0,5.0,23321.0,-4.486658907760621,7.137772166514886,62,10.1,1300,0.5008373994578157
response,210,210.0,5.0,23689.0,-4.486658907760621,1.645490999108204,62,10.1,1300,0.5008373994578157
feedback,110,110.0,5.0,24622.0,-4.486658907760621,8.180824598046037,62,10.1,1300,0.5008373994578157
fixation,TRIALID 6,0.006,6.0,25920.0,-4.486658907760621,5.209694126133278,62,10.1,1300,0.5008373994578157
cue,93,93.0,6.0,26622.0,-4.486658907760621,4.940654982123793,62,10.1,1300,0.5008373994578157
stimulus,51,51.0,6.0,28138.0,-4.486658907760621,6.467404416451279,62,10.1,1300,0.5008373994578157
response,210,210.0,6.0,28700.0,-4.486658907760621,2.893644014997366,62,10.1,1300,0.5008373994578157
feedback,20,20.0,6.0,29638.0,-4.486658907760621,6.98104037232336,62,10.1,1300,0.5008373994578157
fixation,TRIALID 7,0.007,7.0,30752.0,-4.486658907760621,5.220512924003501,62,10.1,1300,0.5008373994578157
