event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1058.0,-2.6677468098443713,3.301904445576486,25,10.1,1300,0.7591423413530762
cue,91,91.0,1.0,1598.0,-2.6677468098443713,3.264242418789599,25,10.1,1300,0.7591423413530762
stimulus,53,53.0,1.0,3114.0,-2.6677468098443713,4.712547138463143,25,10.1,1300,0.7591423413530762
response,210,210.0,1.0,3791.0,-2.6677468098443713,2.7153683915043647,25,10.1,1300,0.7591423413530762
feedback,20,20.0,1.0,4748.0,-2.6677468098443713,4.785970580120871,25,10.1,1300,0.7591423413530762
fixation,TRIALID 2,0.002,2.0,5748.0,-2.6677468098443713,2.9388266854939076,25,10.1,1300,0.7591423413530762
cue,91,91.0,2.0,6415.0,-2.6677468098443713,4.445983077877005,25,10.1,1300,0.7591423413530762
stimulus,52,52.0,2.0,7931.0,-2.6677468098443713,4.758481138645159,25,10.1,1300,0.7591423413530762
response,210,210.0,2.0,8393.0,-2.6677468098443713,1.5440637906783714,25,10.1,1300,0.7591423413530762
feedback,20,20.0,2.0,9315.0,-2.6677468098443713,5.163173518162583,25,10.1,1300,0.7591423413530762
fixation,TRIALID 3,0.003,3.0,10547.0,-2.6677468098443713,4.170458558070805,25,10.1,1300,0.7591423413530762
cue,91,91.0,3.0,11448.0,-2.6677468098443713,4.576763982222243,25,10.1,1300,0.7591423413530762
stimulus,52,52.0,3.0,12964.0,-2.6677468098443713,4.85157251011841,25,10.1,1300,0.7591423413530762
response,210,210.0,3.0,13480.0,-2.6677468098443713,1.52277557000878,25,10.1,1300,0.7591423413530762
feedback,20,20.0,3.0,14365.0,-2.6677468098443713,4.99728921673896,25,10.1,1300,0.7591423413530762
fixation,TRIALID 4,0.004,4.0,15562.0,-2.6677468098443713,4.273064990680111,25,10.1,1300,0.7591423413530762
cue,91,91.0,4.0,16548.0,-2.6677468098443713,4.657354521236833,25,10.1,1300,0.7591423413530762
stimulus,53,53.0,4.0,18065.0,-2.6677468098443713,4.951992729377835,25,10.1,1300,0.7591423413530762
response,210,210.0,4.0,18607.0,-2.6677468098443713,1.626367951544577,25,10.1,1300,0.7591423413530762
feedback,20,20.0,4.0,19498.0,-2.6677468098443713,4.932960791157414,25,10.1,1300,0.7591423413530762
fixation,TRIALID 5,0.005,5.0,20670.0,-2.6677468098443713,3.918031212420236,25,10.1,1300,0.7591423413530762
cue,92,92.0,5.0,21532.0,-2.6677468098443713,4.507989853341909,25,10.1,1300,0.7591423413530762
stimulus,51,51.0,5.0,23048.0,-2.6677468098443713,4.88760354396138,25,10.1,1300,0.7591423413530762
response,200,200.0,5.0,23627.0,-2.6677468098443713,1.891781804800964,25,10.1,1300,0.7591423413530762
