event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1048.0,-6.408051414538407,7.623819584519411,3,10.1,1300,0.4524406474956419
cue,94,94.0,1.0,2004.0,-6.408051414538407,7.374078597325396,3,10.1,1300,0.4524406474956419
stimulus,53,53.0,1.0,3538.0,-6.408051414538407,7.057778633574044,3,10.1,1300,0.4524406474956419
response,210,210.0,1.0,4142.0,-6.408051414538407,4.528751011092506,3,10.1,1300,0.4524406474956419
feedback,110,110.0,1.0,5104.0,-6.408051414538407,7.678334379322333,3,10.1,1300,0.4524406474956419
fixation,TRIALID 2,0.002,2.0,6170.0,-6.408051414538407,6.087124515490127,3,10.1,1300,0.4524406474956419
cue,94,94.0,2.0,7138.0,-6.408051414538407,7.290177934073818,3,10.1,1300,0.4524406474956419
stimulus,52,52.0,2.0,8654.0,-6.408051414538407,7.763713048313092,3,10.1,1300,0.4524406474956419
response,210,210.0,2.0,9456.0,-6.408051414538407,5.407988233201381,3,10.1,1300,0.4524406474956419
feedback,10,10.0,2.0,10420.0,-6.408051414538407,6.744007787709167,3,10.1,1300,0.4524406474956419
fixation,TRIALID 3,0.003,3.0,11294.0,-6.408051414538407,3.5098612458071003,3,10.1,1300,0.4524406474956419
cue,93,93.0,3.0,11904.0,-6.408051414538407,7.353577881323868,3,10.1,1300,0.4524406474956419
stimulus,51,51.0,3.0,13420.0,-6.408051414538407,7.735655361322262,3,10.1,1300,0.4524406474956419
response,200,200.0,3.0,14080.0,-6.408051414538407,3.4107795425003986,3,10.1,1300,0.4524406474956419
feedback,10,10.0,3.0,14938.0,-6.408051414538407,7.493301582832145,3,10.1,1300,0.4524406474956419
fixation,TRIALID 4,0.004,4.0,16018.0,-6.408051414538407,4.014154317880713,3,10.1,1300,0.4524406474956419
cue,91,91.0,4.0,16554.0,-6.408051414538407,6.6854160044659015,3,10.1,1300,0.4524406474956419
stimulus,51,51.0,4.0,18072.0,-6.408051414538407,7.67190127419703,3,10.1,1300,0.4524406474956419
response,210,210.0,4.0,18852.0,-6.408051414538407,4.8888037878832975,3,10.1,1300,0.4524406474956419
feedback,10,10.0,4.0,19788.0,-6.408051414538407,6.6191189270923605,3,10.1,1300,0.4524406474956419
fixation,TRIALID 5,0.005,5.0,20686.0,-6.408051414538407,3.1879337429784638,3,10.1,1300,0.4524406474956419
cue,94,94.0,5.0,21288.0,-6.408051414538407,6.930719866059966,3,10.1,1300,0.4524406474956419
stimulus,51,51.0,5.0,22804.0,-6.408051414538407,9.660222397151522,3,10.1,1300,0.4524406474956419
feedback,10,10.0,5.0,24638.0,-6.408051414538407,8.101765386139192,3,10.1,1300,0.4524406474956419
fixation,TRIALID 6,0.006,6.0,25406.0,-6.408051414538407,3.327770600065801,3,10.1,1300,0.4524406474956419
cue,93,93.0,6.0,26222.0,-6.408051414538407,7.5631756871002604,3,10.1,1300,0.4524406474956419
stimulus,52,52.0,6.0,27738.0,-6.408051414538407,7.247262585681331,3,10.1,1300,0.4524406474956419
response,210,210.0,6.0,28486.0,-6.408051414538407,5.088967532518497,3,10.1,1300,0.4524406474956419
feedback,20,20.0,6.0,29422.0,-6.408051414538407,6.978583057711271,3,10.1,1300,0.4524406474956419
fixation,TRIALID 7,0.007,7.0,30340.0,-6.408051414538407,3.655160792338622,3,10.1,1300,0.4524406474956419
cue,91,91.0,7.0,31004.0,-6.408051414538407,6.607525746060068,3,10.1,1300,0.4524406474956419
stimulus,51,51.0,7.0,32522.0,-6.408051414538407,7.307488232271156,3,10.1,1300,0.4524406474956419
response,210,210.0,7.0,33276.0,-6.408051414538407,4.819553629718096,3,10.1,1300,0.4524406474956419
feedback,20,20.0,7.0,34238.0,-6.408051414538407,6.7799649694577555,3,10.1,1300,0.4524406474956419
fixation,TRIALID 8,0.008,8.0,35124.0,-6.408051414538407,3.556780875985529,3,10.1,1300,0.4524406474956419
