event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1040.0,-10.30795713246027,12.954888178845689,12,10.1,1300,0.2957529664099042
cue,92,92.0,1.0,2016.0,-10.30795713246027,11.746001252545085,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,1.0,3548.0,-10.30795713246027,12.31427891767472,12,10.1,1300,0.2957529664099042
response,210,210.0,1.0,4430.0,-10.30795713246027,9.588675167225363,12,10.1,1300,0.2957529664099042
feedback,110,110.0,1.0,5382.0,-10.30795713246027,9.594879284439342,12,10.1,1300,0.2957529664099042
fixation,TRIALID 2,0.002,2.0,6182.0,-10.30795713246027,8.837019949196444,12,10.1,1300,0.2957529664099042
cue,92,92.0,2.0,7182.0,-10.30795713246027,13.038247754092088,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,2.0,8716.0,-10.30795713246027,12.354213573682982,12,10.1,1300,0.2957529664099042
response,210,210.0,2.0,9560.0,-10.30795713246027,8.523412555289436,12,10.1,1300,0.2957529664099042
feedback,10,10.0,2.0,10498.0,-10.30795713246027,10.515792564988782,12,10.1,1300,0.2957529664099042
fixation,TRIALID 3,0.003,3.0,11344.0,-10.30795713246027,7.106600710737896,12,10.1,1300,0.2957529664099042
cue,91,91.0,3.0,12082.0,-10.30795713246027,12.082473533182512,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,3.0,13598.0,-10.30795713246027,12.876891746905684,12,10.1,1300,0.2957529664099042
response,210,210.0,3.0,14472.0,-10.30795713246027,9.3708914311466,12,10.1,1300,0.2957529664099042
feedback,20,20.0,3.0,15382.0,-10.30795713246027,10.271435323981459,12,10.1,1300,0.2957529664099042
fixation,TRIALID 4,0.004,4.0,16198.0,-10.30795713246027,6.785126359935225,12,10.1,1300,0.2957529664099042
cue,92,92.0,4.0,16916.0,-10.30795713246027,12.246107840803893,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,4.0,18432.0,-10.30795713246027,11.9816594168546,12,10.1,1300,0.2957529664099042
response,210,210.0,4.0,19186.0,-10.30795713246027,8.076710820738693,12,10.1,1300,0.2957529664099042
feedback,10,10.0,4.0,20132.0,-10.30795713246027,11.579871780622064,12,10.1,1300,0.2957529664099042
fixation,TRIALID 5,0.005,5.0,21038.0,-10.30795713246027,5.938559929365604,12,10.1,1300,0.2957529664099042
cue,94,94.0,5.0,21616.0,-10.30795713246027,11.62229663606844,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,5.0,23132.0,-10.30795713246027,11.733582463147865,12,10.1,1300,0.2957529664099042
response,210,210.0,5.0,23794.0,-10.30795713246027,6.722521300376204,12,10.1,1300,0.2957529664099042
feedback,110,110.0,5.0,24716.0,-10.30795713246027,11.9661061240433,12,10.1,1300,0.2957529664099042
fixation,TRIALID 6,0.006,6.0,25732.0,-10.30795713246027,6.316948157454,12,10.1,1300,0.2957529664099042
cue,93,93.0,6.0,26332.0,-10.30795713246027,11.049157201787827,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,6.0,27848.0,-10.30795713246027,11.50076453941405,12,10.1,1300,0.2957529664099042
response,210,210.0,6.0,28478.0,-10.30795713246027,6.908191420308891,12,10.1,1300,0.2957529664099042
feedback,20,20.0,6.0,29400.0,-10.30795713246027,11.901650600980627,12,10.1,1300,0.2957529664099042
fixation,TRIALID 7,0.007,7.0,30452.0,-10.30795713246027,9.684930160578546,12,10.1,1300,0.2957529664099042
cue,92,92.0,7.0,31382.0,-10.30795713246027,12.38192988809607,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,7.0,32900.0,-10.30795713246027,11.6277004048114,12,10.1,1300,0.2957529664099042
response,210,210.0,7.0,33438.0,-10.30795713246027,4.8335750945454095,12,10.1,1300,0.2957529664099042
feedback,110,110.0,7.0,34366.0,-10.30795713246027,13.033233468763385,12,10.1,1300,0.2957529664099042
fixation,TRIALID 8,0.008,8.0,35504.0,-10.30795713246027,7.262599470702284,12,10.1,1300,0.2957529664099042
cue,94,94.0,8.0,36082.0,-10.30795713246027,10.716670588409933,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,8.0,37600.0,-10.30795713246027,11.878087717960035,12,10.1,1300,0.2957529664099042
response,210,210.0,8.0,38130.0,-10.30795713246027,4.199286851982617,12,10.1,1300,0.2957529664099042
feedback,110,110.0,8.0,39048.0,-10.30795713246027,12.234581555821837,12,10.1,1300,0.2957529664099042
fixation,TRIALID 9,0.009,9.0,40196.0,-10.30795713246027,11.08665479851496,12,10.1,1300,0.2957529664099042
cue,91,91.0,9.0,41182.0,-10.30795713246027,12.783094880224574,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,9.0,42700.0,-10.30795713246027,11.801440735181275,12,10.1,1300,0.2957529664099042
response,210,210.0,9.0,43480.0,-10.30795713246027,8.017859338216594,12,10.1,1300,0.2957529664099042
feedback,20,20.0,9.0,44400.0,-10.30795713246027,10.993130583872125,12,10.1,1300,0.2957529664099042
fixation,TRIALID 10,0.01,10.0,45302.0,-10.30795713246027,7.774391474683398,12,10.1,1300,0.2957529664099042
cue,92,92.0,10.0,46216.0,-10.30795713246027,11.431808259253689,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,10.0,47732.0,-10.30795713246027,14.941399015575406,12,10.1,1300,0.2957529664099042
feedback,10,10.0,10.0,49566.0,-10.30795713246027,12.948411599883263,12,10.1,1300,0.2957529664099042
fixation,TRIALID 11,0.011,11.0,50334.0,-10.30795713246027,5.281826712123387,12,10.1,1300,0.2957529664099042
cue,93,93.0,11.0,51100.0,-10.30795713246027,12.516322611505547,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,11.0,52616.0,-10.30795713246027,11.98610275962335,12,10.1,1300,0.2957529664099042
response,210,210.0,11.0,53406.0,-10.30795713246027,8.246688415101293,12,10.1,1300,0.2957529664099042
feedback,10,10.0,11.0,54332.0,-10.30795713246027,10.845186006767491,12,10.1,1300,0.2957529664099042
fixation,TRIALID 12,0.012,12.0,55216.0,-10.30795713246027,7.926415838487045,12,10.1,1300,0.2957529664099042
cue,92,92.0,12.0,56000.0,-10.30795713246027,11.596467761910331,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,12.0,57516.0,-10.30795713246027,11.510728093163054,12,10.1,1300,0.2957529664099042
response,210,210.0,12.0,57996.0,-10.30795713246027,3.8950817971584564,12,10.1,1300,0.2957529664099042
feedback,110,110.0,12.0,58900.0,-10.30795713246027,12.749396380421942,12,10.1,1300,0.2957529664099042
fixation,TRIALID 13,0.013,13.0,60124.0,-10.30795713246027,7.681855214380897,12,10.1,1300,0.2957529664099042
cue,93,93.0,13.0,60666.0,-10.30795713246027,10.041551829286368,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,13.0,62184.0,-10.30795713246027,12.118030380605328,12,10.1,1300,0.2957529664099042
response,210,210.0,13.0,62970.0,-10.30795713246027,7.751173233338307,12,10.1,1300,0.2957529664099042
feedback,10,10.0,13.0,63884.0,-10.30795713246027,10.693871043455978,12,10.1,1300,0.2957529664099042
fixation,TRIALID 14,0.014,14.0,64786.0,-10.30795713246027,5.634340709931381,12,10.1,1300,0.2957529664099042
cue,92,92.0,14.0,65382.0,-10.30795713246027,11.479415453049867,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,14.0,66900.0,-10.30795713246027,11.402547817487916,12,10.1,1300,0.2957529664099042
response,210,210.0,14.0,67476.0,-10.30795713246027,5.402023399213526,12,10.1,1300,0.2957529664099042
feedback,10,10.0,14.0,68400.0,-10.30795713246027,12.571518903378516,12,10.1,1300,0.2957529664099042
fixation,TRIALID 15,0.015,15.0,69504.0,-10.30795713246027,5.799268168207617,12,10.1,1300,0.2957529664099042
cue,93,93.0,15.0,70034.0,-10.30795713246027,10.487984786780354,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,15.0,71550.0,-10.30795713246027,11.270226922655294,12,10.1,1300,0.2957529664099042
response,210,210.0,15.0,72188.0,-10.30795713246027,6.056487127071264,12,10.1,1300,0.2957529664099042
feedback,20,20.0,15.0,73134.0,-10.30795713246027,11.874897871220362,12,10.1,1300,0.2957529664099042
fixation,TRIALID 16,0.016,16.0,74152.0,-10.30795713246027,7.982564703347276,12,10.1,1300,0.2957529664099042
cue,94,94.0,16.0,74900.0,-10.30795713246027,10.803275621562081,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,16.0,76416.0,-10.30795713246027,12.629230171364165,12,10.1,1300,0.2957529664099042
response,200,200.0,16.0,77424.0,-10.30795713246027,9.760684154966796,12,10.1,1300,0.2957529664099042
feedback,10,10.0,16.0,78350.0,-10.30795713246027,10.270943218535201,12,10.1,1300,0.2957529664099042
fixation,TRIALID 17,0.017,17.0,79118.0,-10.30795713246027,4.556609069165599,12,10.1,1300,0.2957529664099042
cue,94,94.0,17.0,79784.0,-10.30795713246027,11.945669681781428,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,17.0,81300.0,-10.30795713246027,12.333245360271198,12,10.1,1300,0.2957529664099042
response,210,210.0,17.0,82174.0,-10.30795713246027,8.491023233803425,12,10.1,1300,0.2957529664099042
feedback,10,10.0,17.0,83084.0,-10.30795713246027,10.106860721484868,12,10.1,1300,0.2957529664099042
fixation,TRIALID 18,0.018,18.0,83902.0,-10.30795713246027,7.522097517944473,12,10.1,1300,0.2957529664099042
cue,92,92.0,18.0,84718.0,-10.30795713246027,11.834715005653045,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,18.0,86234.0,-10.30795713246027,11.138846625548414,12,10.1,1300,0.2957529664099042
response,210,210.0,18.0,86754.0,-10.30795713246027,5.463354015282956,12,10.1,1300,0.2957529664099042
feedback,10,10.0,18.0,87700.0,-10.30795713246027,12.365940593652148,12,10.1,1300,0.2957529664099042
fixation,TRIALID 19,0.019,19.0,88836.0,-10.30795713246027,7.158163604903638,12,10.1,1300,0.2957529664099042
cue,94,94.0,19.0,89434.0,-10.30795713246027,10.426342020966386,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,19.0,90950.0,-10.30795713246027,11.010649305014516,12,10.1,1300,0.2957529664099042
response,210,210.0,19.0,91562.0,-10.30795713246027,5.948448463352368,12,10.1,1300,0.2957529664099042
feedback,110,110.0,19.0,92516.0,-10.30795713246027,11.702922985007405,12,10.1,1300,0.2957529664099042
fixation,TRIALID 20,0.02,20.0,93560.0,-10.30795713246027,8.722448746951388,12,10.1,1300,0.2957529664099042
cue,94,94.0,20.0,94366.0,-10.30795713246027,10.966011304051612,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,20.0,95884.0,-10.30795713246027,14.855619262570228,12,10.1,1300,0.2957529664099042
feedback,10,10.0,20.0,97716.0,-10.30795713246027,12.284433433511166,12,10.1,1300,0.2957529664099042
fixation,TRIALID 21,0.021,21.0,98486.0,-10.30795713246027,6.2670213750638215,12,10.1,1300,0.2957529664099042
cue,93,93.0,21.0,99350.0,-10.30795713246027,12.58114125369966,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,21.0,100868.0,-10.30795713246027,11.245135779520789,12,10.1,1300,0.2957529664099042
response,210,210.0,21.0,101568.0,-10.30795713246027,7.285592333267751,12,10.1,1300,0.2957529664099042
feedback,20,20.0,21.0,102500.0,-10.30795713246027,11.577522860546296,12,10.1,1300,0.2957529664099042
fixation,TRIALID 22,0.022,22.0,103480.0,-10.30795713246027,6.3745615147973025,12,10.1,1300,0.2957529664099042
cue,93,93.0,22.0,104100.0,-10.30795713246027,11.386800159092871,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,22.0,105618.0,-10.30795713246027,11.381662799825941,12,10.1,1300,0.2957529664099042
response,210,210.0,22.0,106260.0,-10.30795713246027,6.827966342042797,12,10.1,1300,0.2957529664099042
feedback,20,20.0,22.0,107218.0,-10.30795713246027,11.724568213226963,12,10.1,1300,0.2957529664099042
fixation,TRIALID 23,0.023,23.0,108224.0,-10.30795713246027,7.664203210239776,12,10.1,1300,0.2957529664099042
cue,92,92.0,23.0,108934.0,-10.30795713246027,11.193603469586096,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,23.0,110450.0,-10.30795713246027,12.711226645288772,12,10.1,1300,0.2957529664099042
response,210,210.0,23.0,111410.0,-10.30795713246027,9.315636572529348,12,10.1,1300,0.2957529664099042
feedback,110,110.0,23.0,112334.0,-10.30795713246027,10.326943855080122,12,10.1,1300,0.2957529664099042
fixation,TRIALID 24,0.024,24.0,113102.0,-10.30795713246027,4.075349572205877,12,10.1,1300,0.2957529664099042
cue,91,91.0,24.0,113684.0,-10.30795713246027,11.850961188353375,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,24.0,115202.0,-10.30795713246027,11.20402719932984,12,10.1,1300,0.2957529664099042
response,210,210.0,24.0,115840.0,-10.30795713246027,6.600563175618237,12,10.1,1300,0.2957529664099042
feedback,20,20.0,24.0,116800.0,-10.30795713246027,12.075840526307523,12,10.1,1300,0.2957529664099042
fixation,TRIALID 25,0.025,25.0,117808.0,-10.30795713246027,6.025669954503155,12,10.1,1300,0.2957529664099042
cue,93,93.0,25.0,118368.0,-10.30795713246027,11.008987868545857,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,25.0,119884.0,-10.30795713246027,11.552854969774803,12,10.1,1300,0.2957529664099042
response,210,210.0,25.0,120592.0,-10.30795713246027,7.2739863118623465,12,10.1,1300,0.2957529664099042
feedback,20,20.0,25.0,121518.0,-10.30795713246027,11.501842469953043,12,10.1,1300,0.2957529664099042
fixation,TRIALID 26,0.026,26.0,122492.0,-10.30795713246027,6.492997698588373,12,10.1,1300,0.2957529664099042
cue,92,92.0,26.0,123118.0,-10.30795713246027,11.157645153329389,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,26.0,124634.0,-10.30795713246027,11.197273788250024,12,10.1,1300,0.2957529664099042
response,210,210.0,26.0,125226.0,-10.30795713246027,6.202689641829412,12,10.1,1300,0.2957529664099042
feedback,110,110.0,26.0,126152.0,-10.30795713246027,11.708581572458309,12,10.1,1300,0.2957529664099042
fixation,TRIALID 27,0.027,27.0,127232.0,-10.30795713246027,9.203421356454484,12,10.1,1300,0.2957529664099042
cue,92,92.0,27.0,128052.0,-10.30795713246027,11.87405174450228,12,10.1,1300,0.2957529664099042
stimulus,51,51.0,27.0,129568.0,-10.30795713246027,11.924313266593185,12,10.1,1300,0.2957529664099042
response,210,210.0,27.0,130320.0,-10.30795713246027,7.551704926935945,12,10.1,1300,0.2957529664099042
feedback,110,110.0,27.0,131234.0,-10.30795713246027,11.636925424242326,12,10.1,1300,0.2957529664099042
fixation,TRIALID 28,0.028,28.0,132166.0,-10.30795713246027,6.199132836027293,12,10.1,1300,0.2957529664099042
cue,94,94.0,28.0,132752.0,-10.30795713246027,11.241188693887054,12,10.1,1300,0.2957529664099042
stimulus,53,53.0,28.0,134268.0,-10.30795713246027,11.79123537954251,12,10.1,1300,0.2957529664099042
response,210,210.0,28.0,134966.0,-10.30795713246027,7.089902908805249,12,10.1,1300,0.2957529664099042
feedback,110,110.0,28.0,135852.0,-10.30795713246027,11.144825584749928,12,10.1,1300,0.2957529664099042
fixation,TRIALID 29,0.029,29.0,136866.0,-10.30795713246027,10.588481122383563,12,10.1,1300,0.2957529664099042
cue,93,93.0,29.0,137852.0,-10.30795713246027,12.87415674722419,12,10.1,1300,0.2957529664099042
stimulus,52,52.0,29.0,139368.0,-10.30795713246027,11.33080102595921,12,10.1,1300,0.2957529664099042
response,210,210.0,29.0,139908.0,-10.30795713246027,5.6549251458183365,12,10.1,1300,0.2957529664099042
feedback,20,20.0,29.0,140868.0,-10.30795713246027,12.488053062265354,12,10.1,1300,0.2957529664099042
fixation,TRIALID 30,0.03,30.0,141970.0,-10.30795713246027,7.949228217341373,12,10.1,1300,0.2957529664099042
cue,92,92.0,30.0,142618.0,-10.30795713246027,10.805331191085775,12,10.1,1300,0.2957529664099042
