event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1048.0,-5.287474888068567,5.4423856476588135,71,10.1,1300,0.4953320987038636
cue,94,94.0,1.0,1652.0,-5.287474888068567,4.781257002647578,71,10.1,1300,0.4953320987038636
stimulus,53,53.0,1.0,3183.0,-5.287474888068567,8.962962594319842,71,10.1,1300,0.4953320987038636
feedback,10,10.0,1.0,5051.0,-5.287474888068567,8.097288380894522,71,10.1,1300,0.4953320987038636
fixation,TRIALID 2,0.002,2.0,5831.0,-5.287474888068567,2.9512417823927994,71,10.1,1300,0.4953320987038636
cue,91,91.0,2.0,6669.0,-5.287474888068567,5.858218874040855,71,10.1,1300,0.4953320987038636
stimulus,52,52.0,2.0,8202.0,-5.287474888068567,7.10790733395562,71,10.1,1300,0.4953320987038636
response,210,210.0,2.0,9003.0,-5.287474888068567,4.207397277607639,71,10.1,1300,0.4953320987038636
feedback,10,10.0,2.0,9933.0,-5.287474888068567,6.061732638696774,71,10.1,1300,0.4953320987038636
fixation,TRIALID 3,0.003,3.0,10855.0,-5.287474888068567,3.708494412868751,71,10.1,1300,0.4953320987038636
cue,92,92.0,3.0,11585.0,-5.287474888068567,5.6150512059206,71,10.1,1300,0.4953320987038636
stimulus,53,53.0,3.0,13102.0,-5.287474888068567,6.596538544171452,71,10.1,1300,0.4953320987038636
response,210,210.0,3.0,13721.0,-5.287474888068567,3.387419134980803,71,10.1,1300,0.4953320987038636
feedback,10,10.0,3.0,14702.0,-5.287474888068567,7.045078920857637,71,10.1,1300,0.4953320987038636
fixation,TRIALID 4,0.004,4.0,15713.0,-5.287474888068567,4.0653442409832214,71,10.1,1300,0.4953320987038636
cue,93,93.0,4.0,16552.0,-5.287474888068567,4.377857599646784,71,10.1,1300,0.4953320987038636
stimulus,52,52.0,4.0,18068.0,-5.287474888068567,5.834023443359816,71,10.1,1300,0.4953320987038636
response,210,210.0,4.0,18629.0,-5.287474888068567,2.9248934525101733,71,10.1,1300,0.4953320987038636
feedback,20,20.0,4.0,19618.0,-5.287474888068567,6.450068817910365,71,10.1,1300,0.4953320987038636
fixation,TRIALID 5,0.005,5.0,20682.0,-5.287474888068567,4.540717607861589,71,10.1,1300,0.4953320987038636
cue,92,92.0,5.0,21500.0,-5.287474888068567,5.691433104530064,71,10.1,1300,0.4953320987038636
stimulus,52,52.0,5.0,23019.0,-5.287474888068567,6.101901189796984,71,10.1,1300,0.4953320987038636
response,200,200.0,5.0,23852.0,-5.287474888068567,4.291855191831203,71,10.1,1300,0.4953320987038636
feedback,110,110.0,5.0,24736.0,-5.287474888068567,5.324778449758689,71,10.1,1300,0.4953320987038636
