event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1041.0,-5.704353096021494,3.3960106337758056,67,10.1,1300,0.36805244938800774
cue,92,92.0,1.0,1579.0,-5.704353096021494,4.581476995433003,67,10.1,1300,0.36805244938800774
stimulus,51,51.0,1.0,3095.0,-5.704353096021494,8.163095554977282,67,10.1,1300,0.36805244938800774
response,210,210.0,1.0,3870.0,-5.704353096021494,5.272630735323392,67,10.1,1300,0.36805244938800774
feedback,110,110.0,1.0,4745.0,-5.704353096021494,6.733198414432321,67,10.1,1300,0.36805244938800774
fixation,TRIALID 2,0.002,2.0,5737.0,-5.704353096021494,5.171190905108861,67,10.1,1300,0.36805244938800774
cue,93,93.0,2.0,6546.0,-5.704353096021494,5.816836552593633,67,10.1,1300,0.36805244938800774
stimulus,53,53.0,2.0,8062.0,-5.704353096021494,8.75731864097828,67,10.1,1300,0.36805244938800774
response,200,200.0,2.0,8856.0,-5.704353096021494,5.26348135204071,67,10.1,1300,0.36805244938800774
feedback,10,10.0,2.0,9746.0,-5.704353096021494,5.938907741480657,67,10.1,1300,0.36805244938800774
fixation,TRIALID 3,0.003,3.0,10673.0,-5.704353096021494,4.520002700185902,67,10.1,1300,0.36805244938800774
cue,92,92.0,3.0,11630.0,-5.704353096021494,6.9532281612920075,67,10.1,1300,0.36805244938800774
stimulus,52,52.0,3.0,13146.0,-5.704353096021494,8.288567947814006,67,10.1,1300,0.36805244938800774
response,210,210.0,3.0,13796.0,-5.704353096021494,3.5914050379948903,67,10.1,1300,0.36805244938800774
feedback,110,110.0,3.0,14679.0,-5.704353096021494,7.054025338034252,67,10.1,1300,0.36805244938800774
fixation,TRIALID 4,0.004,4.0,15754.0,-5.704353096021494,5.164940104046391,67,10.1,1300,0.36805244938800774
cue,93,93.0,4.0,16562.0,-5.704353096021494,7.2372756979099915,67,10.1,1300,0.36805244938800774
stimulus,52,52.0,4.0,18079.0,-5.704353096021494,8.98207080056418,67,10.1,1300,0.36805244938800774
response,200,200.0,4.0,18589.0,-5.704353096021494,2.462978133990674,67,10.1,1300,0.36805244938800774
feedback,10,10.0,4.0,19497.0,-5.704353096021494,8.37412352050341,67,10.1,1300,0.36805244938800774
