event,code,ttl,trial,event_onset,pupil_baseline,pupil_response,subject,npar,tmax,r
fixation,TRIALID 1,0.001,1.0,1043.0,-3.2355456799978044,6.56804645600421,65,10.1,1300,0.642336037784009
cue,93,93.0,1.0,2030.0,-3.2355456799978044,5.4199175065667005,65,10.1,1300,0.642336037784009
stimulus,51,51.0,1.0,3563.0,-3.2355456799978044,6.391370224283121,65,10.1,1300,0.642336037784009
response,210,210.0,1.0,4317.0,-3.2355456799978044,4.373208252989471,65,10.1,1300,0.642336037784009
feedback,20,20.0,1.0,5279.0,-3.2355456799978044,5.702583337296544,65,10.1,1300,0.642336037784009
fixation,TRIALID 2,0.002,2.0,6192.0,-3.2355456799978044,4.0267518287949775,65,10.1,1300,0.642336037784009
cue,92,92.0,2.0,7195.0,-3.2355456799978044,5.6926936846168505,65,10.1,1300,0.642336037784009
stimulus,52,52.0,2.0,8728.0,-3.2355456799978044,6.101944065426898,65,10.1,1300,0.642336037784009
response,210,210.0,2.0,9372.0,-3.2355456799978044,3.347043123802938,65,10.1,1300,0.642336037784009
feedback,110,110.0,2.0,10313.0,-3.2355456799978044,6.19465432362305,65,10.1,1300,0.642336037784009
fixation,TRIALID 3,0.003,3.0,11375.0,-3.2355456799978044,4.337602606045187,65,10.1,1300,0.642336037784009
cue,93,93.0,3.0,12245.0,-3.2355456799978044,5.3248061830919,65,10.1,1300,0.642336037784009
stimulus,51,51.0,3.0,13764.0,-3.2355456799978044,6.598754156176131,65,10.1,1300,0.642336037784009
response,210,210.0,3.0,14288.0,-3.2355456799978044,1.748989696253989,65,10.1,1300,0.642336037784009
feedback,20,20.0,3.0,15197.0,-3.2355456799978044,6.618039654516211,65,10.1,1300,0.642336037784009
fixation,TRIALID 4,0.004,4.0,16373.0,-3.2355456799978044,5.494281725809653,65,10.1,1300,0.642336037784009
cue,94,94.0,4.0,17380.0,-3.2355456799978044,5.475642826129337,65,10.1,1300,0.642336037784009
stimulus,53,53.0,4.0,18897.0,-3.2355456799978044,5.768101920534198,65,10.1,1300,0.642336037784009
response,210,210.0,4.0,19492.0,-3.2355456799978044,3.322797059091849,65,10.1,1300,0.642336037784009
feedback,110,110.0,4.0,20447.0,-3.2355456799978044,6.234894038482876,65,10.1,1300,0.642336037784009
fixation,TRIALID 5,0.005,5.0,21508.0,-3.2355456799978044,5.181464365371484,65,10.1,1300,0.642336037784009
cue,92,92.0,5.0,22530.0,-3.2355456799978044,5.243442274623939,65,10.1,1300,0.642336037784009
stimulus,51,51.0,5.0,24047.0,-3.2355456799978044,6.075226691166649,65,10.1,1300,0.642336037784009
response,210,210.0,5.0,24639.0,-3.2355456799978044,2.764676777990724,65,10.1,1300,0.642336037784009
feedback,110,110.0,5.0,25597.0,-3.2355456799978044,5.986167977591749,65,10.1,1300,0.642336037784009
fixation,TRIALID 6,0.006,6.0,26662.0,-3.2355456799978044,4.573805359393735,65,10.1,1300,0.642336037784009
cue,91,91.0,6.0,27631.0,-3.2355456799978044,4.430463154921344,65,10.1,1300,0.642336037784009
stimulus,53,53.0,6.0,29147.0,-3.2355456799978044,5.83201884542227,65,10.1,1300,0.642336037784009
response,210,210.0,6.0,29800.0,-3.2355456799978044,3.1828371819045365,65,10.1,1300,0.642336037784009
feedback,20,20.0,6.0,30747.0,-3.2355456799978044,5.676493326476825,65,10.1,1300,0.642336037784009
fixation,TRIALID 7,0.007,7.0,31758.0,-3.2355456799978044,4.360280491708137,65,10.1,1300,0.642336037784009
cue,93,93.0,7.0,32714.0,-3.2355456799978044,4.649591972653522,65,10.1,1300,0.642336037784009
stimulus,51,51.0,7.0,34230.0,-3.2355456799978044,6.125161373902552,65,10.1,1300,0.642336037784009
response,200,200.0,7.0,34751.0,-3.2355456799978044,1.9946947874569947,65,10.1,1300,0.642336037784009
feedback,10,10.0,7.0,35647.0,-3.2355456799978044,6.1069488294033984,65,10.1,1300,0.642336037784009
fixation,TRIALID 8,0.008,8.0,36839.0,-3.2355456799978044,4.156554330158786,65,10.1,1300,0.642336037784009
cue,91,91.0,8.0,37614.0,-3.2355456799978044,3.889230748956151,65,10.1,1300,0.642336037784009
stimulus,53,53.0,8.0,39131.0,-3.2355456799978044,5.947479180124131,65,10.1,1300,0.642336037784009
response,200,200.0,8.0,39986.0,-3.2355456799978044,4.156914702549799,65,10.1,1300,0.642336037784009
feedback,10,10.0,8.0,40947.0,-3.2355456799978044,4.748121581925983,65,10.1,1300,0.642336037784009
fixation,TRIALID 9,0.009,9.0,41741.0,-3.2355456799978044,3.557794508831872,65,10.1,1300,0.642336037784009
cue,91,91.0,9.0,42698.0,-3.2355456799978044,4.685985646172664,65,10.1,1300,0.642336037784009
stimulus,51,51.0,9.0,44214.0,-3.2355456799978044,5.973261314007641,65,10.1,1300,0.642336037784009
response,210,210.0,9.0,45052.0,-3.2355456799978044,4.0812187321270486,65,10.1,1300,0.642336037784009
feedback,10,10.0,9.0,45997.0,-3.2355456799978044,4.6850505280485875,65,10.1,1300,0.642336037784009
fixation,TRIALID 10,0.01,10.0,46825.0,-3.2355456799978044,3.9837525002567378,65,10.1,1300,0.642336037784009
cue,94,94.0,10.0,47798.0,-3.2355456799978044,4.8637348061658985,65,10.1,1300,0.642336037784009
stimulus,53,53.0,10.0,49314.0,-3.2355456799978044,5.5870526894609345,65,10.1,1300,0.642336037784009
response,210,210.0,10.0,49896.0,-3.2355456799978044,2.496449780899839,65,10.1,1300,0.642336037784009
feedback,110,110.0,10.0,50847.0,-3.2355456799978044,5.577325795843437,65,10.1,1300,0.642336037784009
fixation,TRIALID 11,0.011,11.0,51924.0,-3.2355456799978044,2.9997974434453196,65,10.1,1300,0.642336037784009
cue,92,92.0,11.0,52647.0,-3.2355456799978044,4.437350122558353,65,10.1,1300,0.642336037784009
stimulus,51,51.0,11.0,54165.0,-3.2355456799978044,5.688406215789243,65,10.1,1300,0.642336037784009
response,210,210.0,11.0,54787.0,-3.2355456799978044,2.8085987925714018,65,10.1,1300,0.642336037784009
feedback,110,110.0,11.0,55731.0,-3.2355456799978044,5.808840295241219,65,10.1,1300,0.642336037784009
fixation,TRIALID 12,0.012,12.0,56771.0,-3.2355456799978044,4.122129995258038,65,10.1,1300,0.642336037784009
cue,91,91.0,12.0,57681.0,-3.2355456799978044,4.452194178306222,65,10.1,1300,0.642336037784009
stimulus,51,51.0,12.0,59197.0,-3.2355456799978044,5.600776887260299,65,10.1,1300,0.642336037784009
response,210,210.0,12.0,59814.0,-3.2355456799978044,2.677210003188358,65,10.1,1300,0.642336037784009
feedback,20,20.0,12.0,60765.0,-3.2355456799978044,5.871136642890521,65,10.1,1300,0.642336037784009
fixation,TRIALID 13,0.013,13.0,61806.0,-3.2355456799978044,1.75934612260322,65,10.1,1300,0.642336037784009
cue,91,91.0,13.0,62365.0,-3.2355456799978044,4.338838524660717,65,10.1,1300,0.642336037784009
stimulus,51,51.0,13.0,63881.0,-3.2355456799978044,6.154757309892762,65,10.1,1300,0.642336037784009
response,210,210.0,13.0,64803.0,-3.2355456799978044,4.413714100745167,65,10.1,1300,0.642336037784009
feedback,20,20.0,13.0,65714.0,-3.2355456799978044,4.352718837946032,65,10.1,1300,0.642336037784009
fixation,TRIALID 14,0.014,14.0,66481.0,-3.2355456799978044,2.979565561326369,65,10.1,1300,0.642336037784009
cue,94,94.0,14.0,67365.0,-3.2355456799978044,4.785178368552319,65,10.1,1300,0.642336037784009
stimulus,51,51.0,14.0,68881.0,-3.2355456799978044,5.56461585219233,65,10.1,1300,0.642336037784009
response,210,210.0,14.0,69613.0,-3.2355456799978044,3.4379828518250917,65,10.1,1300,0.642336037784009
feedback,110,110.0,14.0,70548.0,-3.2355456799978044,5.4460234630563065,65,10.1,1300,0.642336037784009
fixation,TRIALID 15,0.015,15.0,71479.0,-3.2355456799978044,2.7158517831208706,65,10.1,1300,0.642336037784009
cue,93,93.0,15.0,72065.0,-3.2355456799978044,4.035290402389579,65,10.1,1300,0.642336037784009
stimulus,52,52.0,15.0,73581.0,-3.2355456799978044,7.2526189253679405,65,10.1,1300,0.642336037784009
feedback,10,10.0,15.0,75415.0,-3.2355456799978044,6.37849885509549,65,10.1,1300,0.642336037784009
fixation,TRIALID 16,0.016,16.0,76182.0,-3.2355456799978044,1.8201888303399567,65,10.1,1300,0.642336037784009
cue,93,93.0,16.0,76981.0,-3.2355456799978044,5.832629167802206,65,10.1,1300,0.642336037784009
stimulus,51,51.0,16.0,78498.0,-3.2355456799978044,5.996592418006976,65,10.1,1300,0.642336037784009
response,210,210.0,16.0,79008.0,-3.2355456799978044,1.9866828941581591,65,10.1,1300,0.642336037784009
feedback,20,20.0,16.0,79948.0,-3.2355456799978044,6.036691097904523,65,10.1,1300,0.642336037784009
fixation,TRIALID 17,0.017,17.0,81103.0,-3.2355456799978044,4.342275095173079,65,10.1,1300,0.642336037784009
cue,93,93.0,17.0,81998.0,-3.2355456799978044,4.515190202984134,65,10.1,1300,0.642336037784009
stimulus,51,51.0,17.0,83515.0,-3.2355456799978044,6.0285574580072,65,10.1,1300,0.642336037784009
response,210,210.0,17.0,84315.0,-3.2355456799978044,4.100474351595433,65,10.1,1300,0.642336037784009
feedback,10,10.0,17.0,85248.0,-3.2355456799978044,4.936462034719863,65,10.1,1300,0.642336037784009
fixation,TRIALID 18,0.018,18.0,86125.0,-3.2355456799978044,3.0537093268328794,65,10.1,1300,0.642336037784009
cue,94,94.0,18.0,87015.0,-3.2355456799978044,5.0555831775111875,65,10.1,1300,0.642336037784009
stimulus,52,52.0,18.0,88532.0,-3.2355456799978044,5.6481945150232535,65,10.1,1300,0.642336037784009
response,210,210.0,18.0,89010.0,-3.2355456799978044,1.9128038389581674,65,10.1,1300,0.642336037784009
feedback,110,110.0,18.0,89948.0,-3.2355456799978044,5.947447222561694,65,10.1,1300,0.642336037784009
fixation,TRIALID 19,0.019,19.0,91136.0,-3.2355456799978044,4.473799054341289,65,10.1,1300,0.642336037784009
cue,92,92.0,19.0,91982.0,-3.2355456799978044,4.379764050749041,65,10.1,1300,0.642336037784009
stimulus,53,53.0,19.0,93499.0,-3.2355456799978044,5.798254043818153,65,10.1,1300,0.642336037784009
response,210,210.0,19.0,94242.0,-3.2355456799978044,3.657382275471442,65,10.1,1300,0.642336037784009
feedback,10,10.0,19.0,95182.0,-3.2355456799978044,5.634341548083887,65,10.1,1300,0.642336037784009
fixation,TRIALID 20,0.02,20.0,96105.0,-3.2355456799978044,3.7399790422259898,65,10.1,1300,0.642336037784009
cue,92,92.0,20.0,96899.0,-3.2355456799978044,4.937240450034639,65,10.1,1300,0.642336037784009
stimulus,52,52.0,20.0,98416.0,-3.2355456799978044,5.725586716854663,65,10.1,1300,0.642336037784009
