type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	9391707 DISPLAY_COORDS 0 0 1023 767",,,9
!CAL,1,"MSG	9831596 !CAL ",,,9
!CAL,1,"MSG	9831596 !CAL Calibration points:  ",,,9
!CAL,1,"MSG	9831597 !CAL  8.1, -35.9         0,   -711   ",,,9
!CAL,1,"MSG	9831597 !CAL -4.5, -37.8     -2478,   -711   ",,,9
!CAL,1,"MSG	9831597 !CAL  21.9, -35.1      2478,   -711   ",,,9
!CAL,1,"MSG	9831597 !CAL eye check box: (L,R,T,B)",,,9
!CAL,1,"MSG	9831597 !CAL href cal range: (L,R,T,B)",,,9
!CAL,1,"MSG	9831597 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,9
!CAL,1,"MSG	9831597 !CAL Prerotate (eye, ref : cos, sin:  0.995  0.099867       1     0",,,9
!CAL,1,"MSG	9831597 !CAL Gains: cx:190.293 lx:209.260 rx:171.422",,,9
!CAL,1,"MSG	9831597 !CAL Gains: cy:416.907 ty:416.908 by:416.904",,,9
!CAL,1,"MSG	9831597 !CAL Resolution (upd) at screen center: X=1.4, Y=0.6",,,9
!CAL,1,"MSG	9831597 !CAL Gain Change Proportion: X: 0.221 Y: 0.000",,,9
!CAL,1,"MSG	9831597 !CAL Gain Ratio (Gy/Gx) = 2.191",,,9
!CAL,1,"MSG	9831597 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,9
!CAL,1,"MSG	9831597 !CAL PCR gain ratio(x,y) = 2.241, 2.241",,,9
!CAL,1,"MSG	9831598 !CAL CR gain match(x,y) = 1.010, 1.010",,,9
!CAL,1,"MSG	9831598 !CAL Slip rotation correction OFF",,,9
!CAL,1,"MSG	9831601 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,9
!CAL,1,"MSG	9837549 !CAL VALIDATION H3 R RIGHT GOOD ERROR 0.42 avg. 0.55 max  OFFSET 0.42 deg. 20.5,0.0 pix.",,,9
VALIDATE,1,"MSG	9837549 VALIDATE R 4POINT 0 RIGHT  at 512,200  OFFSET 0.34 deg.  16.3,0.0 pix.",,,9
VALIDATE,1,"MSG	9837549 VALIDATE R 4POINT 1 RIGHT  at 61,200  OFFSET 0.34 deg.  16.5,0.0 pix.",,,9
VALIDATE,1,"MSG	9837549 VALIDATE R 4POINT 2 RIGHT  at 962,200  OFFSET 0.55 deg.  26.7,0.0 pix.",,,9
RECCFG,1,"MSG	9839870 RECCFG CR 500 2 1 R",,,9
