type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	3236257 DISPLAY_COORDS 0 0 1023 767",,,29
!CAL,1,"MSG	3725106 !CAL ",,,29
!CAL,1,"MSG	3725106 !CAL Calibration points:  ",,,29
!CAL,1,"MSG	3725106 !CAL  1.2, -45.1         0,   -711   ",,,29
!CAL,1,"MSG	3725106 !CAL -11.3, -45.5     -2478,   -711   ",,,29
!CAL,1,"MSG	3725106 !CAL  14.1, -45.0      2478,   -711   ",,,29
!CAL,1,"MSG	3725106 !CAL eye check box: (L,R,T,B)",,,29
!CAL,1,"MSG	3725106 !CAL href cal range: (L,R,T,B)",,,29
!CAL,1,"MSG	3725107 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,29
!CAL,1,"MSG	3725107 !CAL Prerotate (eye, ref : cos, sin:  0.99978  0.020991       1     0",,,29
!CAL,1,"MSG	3725107 !CAL Gains: cx:195.176 lx:200.855 rx:189.497",,,29
!CAL,1,"MSG	3725107 !CAL Gains: cy:436.383 ty:436.382 by:436.382",,,29
!CAL,1,"MSG	3725107 !CAL Resolution (upd) at screen center: X=1.3, Y=0.6",,,29
!CAL,1,"MSG	3725107 !CAL Gain Change Proportion: X: 0.060 Y: 0.000",,,29
!CAL,1,"MSG	3725107 !CAL Gain Ratio (Gy/Gx) = 2.236",,,29
!CAL,1,"MSG	3725107 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,29
!CAL,1,"MSG	3725107 !CAL PCR gain ratio(x,y) = 2.640, 2.640",,,29
!CAL,1,"MSG	3725107 !CAL CR gain match(x,y) = 1.010, 1.010",,,29
!CAL,1,"MSG	3725107 !CAL Slip rotation correction OFF",,,29
!CAL,1,"MSG	3725111 !CAL CALIBRATION H3 L LEFT    GOOD ",,,29
!CAL,1,"MSG	3733144 !CAL VALIDATION H3 L LEFT  POOR ERROR 3.36 avg. 12.89 max  OFFSET 3.36 deg. -161.4,0.0 pix.",,,29
VALIDATE,1,"MSG	3733144 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.08 deg.  -3.7,0.0 pix.",,,29
VALIDATE,1,"MSG	3733144 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.40 deg.  -19.4,0.0 pix.",,,29
VALIDATE,1,"MSG	3733144 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 12.89 deg.  -619.0,0.0 pix.",,,29
RECCFG,1,"MSG	3735195 RECCFG CR 1000 2 1 L",,,29
ELCLCFG,1,"MSG	3735195 ELCLCFG MTABLE",,,29
GAZE_COORDS,1,"MSG	3735195 GAZE_COORDS 0.00 0.00 1023.00 767.00",,,29
THRESHOLDS,1,"MSG	3735195 THRESHOLDS L 47 204",,,29
ELCL_PROC,1,"MSG	3735195 ELCL_PROC CENTROID (3)",,,29
ELCL_PCR_PARAM,1,"MSG	3735195 ELCL_PCR_PARAM 5 3.0",,,29
!MODE,1,"MSG	3735196 !MODE RECORD CR 1000 2 1 L",,,29
TRIALID,1041,"MSG	3736236 TRIALID 1",,,29
91,1664,"MSG	3736859 91",,,29
51,3179,"MSG	3738374 51",,,29
210,4138,"MSG	3739333 210",,,29
20,5163,"MSG	3740358 20",,,29
TRIAL_RESULT,5933,"MSG	3741128 TRIAL_RESULT 0",,,29
TRIALID,5934,"MSG	3741129 TRIALID 2",,,29
91,6581,"MSG	3741776 91",,,29
51,8097,"MSG	3743292 51",,,29
200,8718,"MSG	3743913 200",,,29
20,9680,"MSG	3744875 20",,,29
TRIAL_RESULT,10728,"MSG	3745923 TRIAL_RESULT 0",,,29
TRIALID,10728,"MSG	3745923 TRIALID 3",,,29
93,11664,"MSG	3746859 93",,,29
52,13180,"MSG	3748375 52",,,29
210,13691,"MSG	3748886 210",,,29
20,14680,"MSG	3749875 20",,,29
TRIAL_RESULT,15794,"MSG	3750989 TRIAL_RESULT 0",,,29
TRIALID,15795,"MSG	3750990 TRIALID 4",,,29
91,16464,"MSG	3751659 91",,,29
51,17981,"MSG	3753176 51",,,29
200,18774,"MSG	3753969 200",,,29
20,19664,"MSG	3754859 20",,,29
TRIAL_RESULT,20583,"MSG	3755778 TRIAL_RESULT 0",,,29
TRIALID,20584,"MSG	3755779 TRIALID 5",,,29
93,21581,"MSG	3756776 93",,,29
51,23097,"MSG	3758292 51",,,29
210,23901,"MSG	3759096 210",,,29
10,24764,"MSG	3759959 10",,,29
TRIAL_RESULT,25698,"MSG	3760893 TRIAL_RESULT 0",,,29
TRIALID,25699,"MSG	3760894 TRIALID 6",,,29
92,26547,"MSG	3761742 92",,,29
53,28063,"MSG	3763258 53",,,29
200,28969,"MSG	3764164 200",,,29
10,29947,"MSG	3765142 10",,,29
TRIAL_RESULT,30714,"MSG	3765909 TRIAL_RESULT 0",,,29
TRIALID,30714,"MSG	3765909 TRIALID 7",,,29
94,31564,"MSG	3766759 94",,,29
52,33081,"MSG	3768276 52",,,29
210,33903,"MSG	3769098 210",,,29
10,34881,"MSG	3770076 10",,,29
TRIAL_RESULT,35694,"MSG	3770889 TRIAL_RESULT 0",,,29
TRIALID,35695,"MSG	3770890 TRIALID 8",,,29
91,36598,"MSG	3771793 91",,,29
52,38114,"MSG	3773309 52",,,29
200,38759,"MSG	3773954 200",,,29
20,39731,"MSG	3774926 20",,,29
TRIAL_RESULT,40716,"MSG	3775911 TRIAL_RESULT 0",,,29
TRIALID,40717,"MSG	3775912 TRIALID 9",,,29
92,41412,"MSG	3776607 92",,,29
53,42931,"MSG	3778126 53",,,29
210,43597,"MSG	3778792 210",,,29
10,44580,"MSG	3779775 10",,,29
TRIAL_RESULT,45530,"MSG	3780725 TRIAL_RESULT 0",,,29
TRIALID,45530,"MSG	3780725 TRIALID 10",,,29
94,46198,"MSG	3781393 94",,,29
51,47714,"MSG	3782909 51",,,29
210,48588,"MSG	3783783 210",,,29
10,49548,"MSG	3784743 10",,,29
TRIAL_RESULT,50321,"MSG	3785516 TRIAL_RESULT 0",,,29
TRIALID,50321,"MSG	3785516 TRIALID 11",,,29
92,50881,"MSG	3786076 92",,,29
53,52398,"MSG	3787593 53",,,29
200,53209,"MSG	3788404 200",,,29
110,54199,"MSG	3789394 110",,,29
TRIAL_RESULT,55007,"MSG	3790202 TRIAL_RESULT 0",,,29
TRIALID,55007,"MSG	3790202 TRIALID 12",,,29
93,55898,"MSG	3791093 93",,,29
51,57415,"MSG	3792610 51",,,29
200,58393,"MSG	3793588 200",,,29
10,59364,"MSG	3794559 10",,,29
TRIAL_RESULT,60131,"MSG	3795326 TRIAL_RESULT 0",,,29
TRIALID,60132,"MSG	3795327 TRIALID 13",,,29
91,60865,"MSG	3796060 91",,,29
52,62381,"MSG	3797576 52",,,29
210,63140,"MSG	3798335 210",,,29
10,64098,"MSG	3799293 10",,,29
TRIAL_RESULT,64982,"MSG	3800177 TRIAL_RESULT 0",,,29
TRIALID,64982,"MSG	3800177 TRIALID 14",,,29
93,65782,"MSG	3800977 93",,,29
52,67298,"MSG	3802493 52",,,29
210,68258,"MSG	3803453 210",,,29
10,69214,"MSG	3804409 10",,,29
TRIAL_RESULT,69981,"MSG	3805176 TRIAL_RESULT 0",,,29
TRIALID,69981,"MSG	3805176 TRIALID 15",,,29
91,70582,"MSG	3805777 91",,,29
51,72098,"MSG	3807293 51",,,29
10,73931,"MSG	3809126 10",,,29
TRIAL_RESULT,74698,"MSG	3809893 TRIAL_RESULT 0",,,29
TRIALID,74698,"MSG	3809893 TRIALID 16",,,29
94,75332,"MSG	3810527 94",,,29
52,76849,"MSG	3812044 52",,,29
210,77656,"MSG	3812851 210",,,29
10,78582,"MSG	3813777 10",,,29
TRIAL_RESULT,79453,"MSG	3814648 TRIAL_RESULT 0",,,29
TRIALID,79454,"MSG	3814649 TRIALID 17",,,29
91,80015,"MSG	3815210 91",,,29
52,81531,"MSG	3816726 52",,,29
210,82126,"MSG	3817321 210",,,29
10,83082,"MSG	3818277 10",,,29
