type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	2477187 DISPLAY_COORDS 0 0 1023 767",,,20
!CAL,1,"MSG	2499870 !CAL ",,,20
!CAL,1,"MSG	2499870 !CAL Calibration points:  ",,,20
!CAL,1,"MSG	2499870 !CAL -10.3, -42.3         0,   -711   ",,,20
!CAL,1,"MSG	2499870 !CAL -22.9, -42.1     -2478,   -711   ",,,20
!CAL,1,"MSG	2499870 !CAL  2.8, -41.0      2478,   -711   ",,,20
!CAL,1,"MSG	2499870 !CAL eye check box: (L,R,T,B)",,,20
!CAL,1,"MSG	2499870 !CAL href cal range: (L,R,T,B)",,,20
!CAL,1,"MSG	2499870 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,20
!CAL,1,"MSG	2499871 !CAL Prerotate (eye, ref : cos, sin:  0.99919  0.040339       1     0",,,20
!CAL,1,"MSG	2499871 !CAL Gains: cx:193.271 lx:203.770 rx:182.778",,,20
!CAL,1,"MSG	2499871 !CAL Gains: cy:431.240 ty:431.241 by:431.241",,,20
!CAL,1,"MSG	2499871 !CAL Resolution (upd) at screen center: X=1.4, Y=0.6",,,20
!CAL,1,"MSG	2499871 !CAL Gain Change Proportion: X: 0.115 Y: 0.000",,,20
!CAL,1,"MSG	2499871 !CAL Gain Ratio (Gy/Gx) = 2.231",,,20
!CAL,1,"MSG	2499871 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,20
!CAL,1,"MSG	2499871 !CAL PCR gain ratio(x,y) = 2.340, 2.340",,,20
!CAL,1,"MSG	2499871 !CAL CR gain match(x,y) = 1.010, 1.010",,,20
!CAL,1,"MSG	2499871 !CAL Slip rotation correction OFF",,,20
!CAL,1,"MSG	2499876 !CAL CALIBRATION H3 L LEFT    GOOD ",,,20
!CAL,1,"MSG	2508526 !CAL VALIDATION H3 L LEFT  POOR ERROR 3.92 avg. 9.40 max  OFFSET 3.84 deg. 183.5,0.0 pix.",,,20
VALIDATE,1,"MSG	2508526 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.71 deg.  34.1,0.0 pix.",,,20
VALIDATE,1,"MSG	2508527 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 9.40 deg.  448.9,0.0 pix.",,,20
VALIDATE,1,"MSG	2508527 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.32 deg.  -15.2,0.0 pix.",,,20
!CAL,1,"MSG	3052852 !CAL ",,,20
!CAL,1,"MSG	3052852 !CAL Calibration points:  ",,,20
!CAL,1,"MSG	3052852 !CAL -32.0, -125.3         0,   -711   ",,,20
!CAL,1,"MSG	3052852 !CAL -64.8, -126.2     -2478,   -711   ",,,20
!CAL,1,"MSG	3052852 !CAL -60.6, -125.1      2478,   -711   ",,,20
!CAL,1,"MSG	3052852 !CAL eye check box: (L,R,T,B)",,,20
!CAL,1,"MSG	3052853 !CAL href cal range: (L,R,T,B)",,,20
!CAL,1,"MSG	3052853 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,20
!CAL,1,"MSG	3052853 !CAL Prerotate (eye, ref : cos, sin:  0.99962  0.027547       1     0",,,20
