type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	13852811 DISPLAY_COORDS 0 0 1023 767",,,56
!CAL,1,"MSG	13867613 !CAL ",,,56
!CAL,1,"MSG	13867613 !CAL Calibration points:  ",,,56
!CAL,1,"MSG	13867613 !CAL  2.0, -44.9         0,   -711   ",,,56
!CAL,1,"MSG	13867613 !CAL -11.6, -45.2     -2478,   -711   ",,,56
!CAL,1,"MSG	13867613 !CAL  16.2, -45.6      2478,   -711   ",,,56
!CAL,1,"MSG	13867613 !CAL eye check box: (L,R,T,B)",,,56
!CAL,1,"MSG	13867613 !CAL href cal range: (L,R,T,B)",,,56
!CAL,1,"MSG	13867614 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,56
!CAL,1,"MSG	13867614 !CAL Prerotate (eye, ref : cos, sin:  0.99991 -0.01307       1     0",,,56
!CAL,1,"MSG	13867614 !CAL Gains: cx:178.480 lx:187.431 rx:169.529",,,56
!CAL,1,"MSG	13867614 !CAL Gains: cy:399.529 ty:399.529 by:399.528",,,56
!CAL,1,"MSG	13867614 !CAL Resolution (upd) at screen center: X=1.5, Y=0.7",,,56
!CAL,1,"MSG	13867614 !CAL Gain Change Proportion: X: 0.106 Y: 0.000",,,56
!CAL,1,"MSG	13867614 !CAL Gain Ratio (Gy/Gx) = 2.239",,,56
!CAL,1,"MSG	13867614 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,56
!CAL,1,"MSG	13867614 !CAL PCR gain ratio(x,y) = 2.286, 2.286",,,56
!CAL,1,"MSG	13867614 !CAL CR gain match(x,y) = 1.010, 1.010",,,56
!CAL,1,"MSG	13867614 !CAL Slip rotation correction OFF",,,56
!CAL,1,"MSG	13867618 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,56
!CAL,1,"MSG	13886040 !CAL ",,,56
!CAL,1,"MSG	13886040 !CAL Calibration points:  ",,,56
!CAL,1,"MSG	13886040 !CAL  4.3, -74.3         0,   -711   ",,,56
!CAL,1,"MSG	13886040 !CAL -18.5, -74.0     -2478,   -711   ",,,56
!CAL,1,"MSG	13886040 !CAL -10.8, -74.8      2478,   -711   ",,,56
!CAL,1,"MSG	13886040 !CAL eye check box: (L,R,T,B)",,,56
!CAL,1,"MSG	13886040 !CAL href cal range: (L,R,T,B)",,,56
!CAL,1,"MSG	13886040 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,56
!CAL,1,"MSG	13886040 !CAL Prerotate (eye, ref : cos, sin:  0.99988 -0.015613       1     0",,,56
!CAL,1,"MSG	13886040 !CAL Gains: cx:76.448 lx:1042.528 rx:896.419",,,56
!CAL,1,"MSG	13886040 !CAL Gains: cy:1438.565 ty:1438.565 by:1438.565",,,56
!CAL,1,"MSG	13886040 !CAL Resolution (upd) at screen center: X=3.4, Y=0.2",,,56
!CAL,1,"MSG	13886041 !CAL Gain Change Proportion: X: 0.163 Y: 0.000",,,56
!CAL,1,"MSG	13886041 !CAL Y gain out of range",,,56
!CAL,1,"MSG	13886041 !CAL PCR gain ratio(x,y) = 3.773, 3.773",,,56
!CAL,1,"MSG	13886041 !CAL CR gain match(x,y) = 1.010, 1.010",,,56
!CAL,1,"MSG	13886041 !CAL Slip rotation correction OFF",,,56
!CAL,1,"MSG	13886045 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,56
!CAL,1,"MSG	13935124 !CAL VALIDATION R ABORTED",,,56
!CAL,1,"MSG	13948693 !CAL VALIDATION R ABORTED",,,56
!CAL,1,"MSG	13978949 !CAL ",,,56
!CAL,1,"MSG	13978949 !CAL Calibration points:  ",,,56
!CAL,1,"MSG	13978949 !CAL -0.6, -47.6         0,   -711   ",,,56
!CAL,1,"MSG	13978949 !CAL -14.4, -47.0     -2478,   -711   ",,,56
!CAL,1,"MSG	13978949 !CAL  14.5, -47.7      2478,   -711   ",,,56
!CAL,1,"MSG	13978949 !CAL eye check box: (L,R,T,B)",,,56
!CAL,1,"MSG	13978949 !CAL href cal range: (L,R,T,B)",,,56
!CAL,1,"MSG	13978950 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,56
!CAL,1,"MSG	13978950 !CAL Prerotate (eye, ref : cos, sin:  0.99969 -0.024934       1     0",,,56
!CAL,1,"MSG	13978950 !CAL Gains: cx:171.043 lx:188.083 rx:154.008",,,56
!CAL,1,"MSG	13978950 !CAL Gains: cy:382.991 ty:382.989 by:382.991",,,56
!CAL,1,"MSG	13978950 !CAL Resolution (upd) at screen center: X=1.5, Y=0.7",,,56
!CAL,1,"MSG	13978950 !CAL Gain Change Proportion: X: 0.221 Y: 0.000",,,56
!CAL,1,"MSG	13978950 !CAL Gain Ratio (Gy/Gx) = 2.239",,,56
!CAL,1,"MSG	13978950 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,56
!CAL,1,"MSG	13978950 !CAL PCR gain ratio(x,y) = 2.439, 2.439",,,56
!CAL,1,"MSG	13978950 !CAL CR gain match(x,y) = 1.010, 1.010",,,56
!CAL,1,"MSG	13978950 !CAL Slip rotation correction OFF",,,56
!CAL,1,"MSG	13978954 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,56
!CAL,1,"MSG	13984407 !CAL VALIDATION H3 R RIGHT GOOD ERROR 0.10 avg. 0.16 max  OFFSET 0.02 deg. -1.2,0.0 pix.",,,56
VALIDATE,1,"MSG	13984407 VALIDATE R 4POINT 0 RIGHT  at 512,200  OFFSET 0.16 deg.  -7.6,0.0 pix.",,,56
VALIDATE,1,"MSG	13984407 VALIDATE R 4POINT 1 RIGHT  at 61,200  OFFSET 0.04 deg.  2.2,0.0 pix.",,,56
VALIDATE,1,"MSG	13984407 VALIDATE R 4POINT 2 RIGHT  at 962,200  OFFSET 0.10 deg.  5.0,0.0 pix.",,,56
!CAL,1,"MSG	14459930 !CAL ",,,56
!CAL,1,"MSG	14459930 !CAL Calibration points:  ",,,56
!CAL,1,"MSG	14459930 !CAL -1.9, -47.7         0,   -711   ",,,56
!CAL,1,"MSG	14459930 !CAL -15.0, -46.4     -2478,   -711   ",,,56
!CAL,1,"MSG	14459930 !CAL  14.2, -47.4      2478,   -711   ",,,56
!CAL,1,"MSG	14459930 !CAL eye check box: (L,R,T,B)",,,56
!CAL,1,"MSG	14459931 !CAL href cal range: (L,R,T,B)",,,56
!CAL,1,"MSG	14459931 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,56
!CAL,1,"MSG	14459931 !CAL Prerotate (eye, ref : cos, sin:  0.99938 -0.035123       1     0",,,56
!CAL,1,"MSG	14459931 !CAL Gains: cx:168.791 lx:208.838 rx:128.806",,,56
!CAL,1,"MSG	14459931 !CAL Gains: cy:378.880 ty:378.882 by:378.882",,,56
!CAL,1,"MSG	14459931 !CAL Resolution (upd) at screen center: X=1.6, Y=0.7",,,56
!CAL,1,"MSG	14459931 !CAL Gain Change Proportion: X: 0.621 Y: 0.000",,,56
!CAL,1,"MSG	14459931 !CAL Gain Ratio (Gy/Gx) = 2.245",,,56
!CAL,1,"MSG	14459931 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,56
!CAL,1,"MSG	14459931 !CAL PCR gain ratio(x,y) = 2.437, 2.437",,,56
!CAL,1,"MSG	14459931 !CAL CR gain match(x,y) = 1.010, 1.010",,,56
!CAL,1,"MSG	14459931 !CAL Slip rotation correction OFF",,,56
!CAL,1,"MSG	14459935 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,56
!CAL,1,"MSG	14470037 !CAL VALIDATION H3 R RIGHT GOOD ERROR 0.66 avg. 0.84 max  OFFSET 0.61 deg. 29.5,0.0 pix.",,,56
VALIDATE,1,"MSG	14470037 VALIDATE R 4POINT 0 RIGHT  at 512,200  OFFSET 0.84 deg.  40.4,0.0 pix.",,,56
VALIDATE,1,"MSG	14470037 VALIDATE R 4POINT 1 RIGHT  at 61,200  OFFSET 0.35 deg.  16.7,0.0 pix.",,,56
VALIDATE,1,"MSG	14470038 VALIDATE R 4POINT 2 RIGHT  at 962,200  OFFSET 0.21 deg.  -10.2,0.0 pix.",,,56
RECCFG,1,"MSG	14472924 RECCFG CR 1000 2 1 R",,,56
ELCLCFG,1,"MSG	14472924 ELCLCFG MTABLE",,,56
GAZE_COORDS,1,"MSG	14472924 GAZE_COORDS 0.00 0.00 1023.00 767.00",,,56
THRESHOLDS,1,"MSG	14472924 THRESHOLDS R 53 203",,,56
ELCL_PROC,1,"MSG	14472924 ELCL_PROC CENTROID (3)",,,56
ELCL_PCR_PARAM,1,"MSG	14472924 ELCL_PCR_PARAM 5 3.0",,,56
!MODE,1,"MSG	14472925 !MODE RECORD CR 1000 2 1 R",,,56
TRIALID,1054,"MSG	14473978 TRIALID 1",,,56
91,1629,"MSG	14474553 91",,,56
52,3160,"MSG	14476084 52",,,56
210,3993,"MSG	14476917 210",,,56
10,5043,"MSG	14477967 10",,,56
TRIAL_RESULT,5823,"MSG	14478747 TRIAL_RESULT 0",,,56
TRIALID,5824,"MSG	14478748 TRIALID 2",,,56
91,6712,"MSG	14479636 91",,,56
53,8246,"MSG	14481170 53",,,56
210,8660,"MSG	14481584 210",,,56
20,9662,"MSG	14482586 20",,,56
TRIAL_RESULT,10874,"MSG	14483798 TRIAL_RESULT 0",,,56
TRIALID,10874,"MSG	14483798 TRIALID 3",,,56
