type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	3479379 DISPLAY_COORDS 0 0 1023 767",,,26
!CAL,1,"MSG	3505077 !CAL ",,,26
!CAL,1,"MSG	3505077 !CAL Calibration points:  ",,,26
!CAL,1,"MSG	3505077 !CAL  2.9, -39.6         0,   -711   ",,,26
!CAL,1,"MSG	3505077 !CAL -9.7, -40.6     -2478,   -711   ",,,26
!CAL,1,"MSG	3505077 !CAL  16.0, -38.8      2478,   -711   ",,,26
!CAL,1,"MSG	3505077 !CAL eye check box: (L,R,T,B)",,,26
!CAL,1,"MSG	3505077 !CAL href cal range: (L,R,T,B)",,,26
!CAL,1,"MSG	3505077 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,26
!CAL,1,"MSG	3505077 !CAL Prerotate (eye, ref : cos, sin:  0.99746  0.071253       1     0",,,26
!CAL,1,"MSG	3505077 !CAL Gains: cx:193.703 lx:202.646 rx:184.772",,,26
!CAL,1,"MSG	3505078 !CAL Gains: cy:428.570 ty:428.570 by:428.570",,,26
!CAL,1,"MSG	3505078 !CAL Resolution (upd) at screen center: X=1.4, Y=0.6",,,26
!CAL,1,"MSG	3505078 !CAL Gain Change Proportion: X: 0.097 Y: 0.000",,,26
!CAL,1,"MSG	3505078 !CAL Gain Ratio (Gy/Gx) = 2.213",,,26
!CAL,1,"MSG	3505078 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,26
!CAL,1,"MSG	3505078 !CAL PCR gain ratio(x,y) = 2.190, 2.190",,,26
!CAL,1,"MSG	3505078 !CAL CR gain match(x,y) = 1.010, 1.010",,,26
!CAL,1,"MSG	3505078 !CAL Slip rotation correction OFF",,,26
!CAL,1,"MSG	3505081 !CAL CALIBRATION H3 L LEFT    GOOD ",,,26
!CAL,1,"MSG	3521293 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.51 avg. 0.62 max  OFFSET 0.51 deg. -24.4,0.0 pix.",,,26
VALIDATE,1,"MSG	3521293 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.42 deg.  -20.1,0.0 pix.",,,26
VALIDATE,1,"MSG	3521293 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.59 deg.  -28.3,0.0 pix.",,,26
VALIDATE,1,"MSG	3521294 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.62 deg.  -29.8,0.0 pix.",,,26
!CAL,1,"MSG	4103192 !CAL ",,,26
!CAL,1,"MSG	4103192 !CAL Calibration points:  ",,,26
!CAL,1,"MSG	4103192 !CAL  4.7, -40.6         0,   -711   ",,,26
!CAL,1,"MSG	4103193 !CAL  5.3, -40.6     -2478,   -711   ",,,26
!CAL,1,"MSG	4103193 !CAL  19.0, -38.5      2478,   -711   ",,,26
!CAL,1,"MSG	4103193 !CAL eye check box: (L,R,T,B)",,,26
!CAL,1,"MSG	4103193 !CAL href cal range: (L,R,T,B)",,,26
!CAL,1,"MSG	4103193 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,26
!CAL,1,"MSG	4103193 !CAL Prerotate (eye, ref : cos, sin:  0.98967  0.14335       1     0",,,26
!CAL,1,"MSG	4103193 !CAL Gains: cx:452.237 lx:4210.364 rx:5084.973",,,26
!CAL,1,"MSG	4103193 !CAL Gains: cy:792.726 ty:792.311 by:793.392",,,26
!CAL,1,"MSG	4103193 !CAL Resolution (upd) at screen center: X=0.6, Y=0.3",,,26
!CAL,1,"MSG	4103193 !CAL Gain Change Proportion: X: 0.208 Y: 0.001",,,26
!CAL,1,"MSG	4103193 !CAL Gain Ratio (Gy/Gx) = 1.753",,,26
!CAL,1,"MSG	4103193 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,26
!CAL,1,"MSG	4103193 !CAL PCR gain ratio(x,y) = 2.256, 2.256",,,26
!CAL,1,"MSG	4103194 !CAL CR gain match(x,y) = 1.010, 1.010",,,26
!CAL,1,"MSG	4103194 !CAL Slip rotation correction OFF",,,26
!CAL,1,"MSG	4103197 !CAL CALIBRATION H3 L LEFT    GOOD ",,,26
!CAL,1,"MSG	4120034 !CAL VALIDATION L ABORTED",,,26
!CAL,1,"MSG	4127512 !CAL ",,,26
!CAL,1,"MSG	4127512 !CAL Calibration points:  ",,,26
!CAL,1,"MSG	4127512 !CAL  5.4, -45.0         0,   -711   ",,,26
!CAL,1,"MSG	4127512 !CAL -10.7, -45.6     -2478,   -711   ",,,26
