type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	3331118 DISPLAY_COORDS 0 0 1023 767",,,62
!CAL,1,"MSG	3421480 !CAL ",,,62
!CAL,1,"MSG	3421480 !CAL Calibration points:  ",,,62
!CAL,1,"MSG	3421480 !CAL  4.6, -39.6         0,   -711   ",,,62
!CAL,1,"MSG	3421480 !CAL -9.5, -38.4     -2478,   -711   ",,,62
!CAL,1,"MSG	3421480 !CAL  18.7, -39.1      2478,   -711   ",,,62
!CAL,1,"MSG	3421480 !CAL eye check box: (L,R,T,B)",,,62
!CAL,1,"MSG	3421480 !CAL href cal range: (L,R,T,B)",,,62
!CAL,1,"MSG	3421481 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,62
!CAL,1,"MSG	3421481 !CAL Prerotate (eye, ref : cos, sin:  0.99965 -0.026636       1     0",,,62
!CAL,1,"MSG	3421481 !CAL Gains: cx:176.492 lx:177.351 rx:175.633",,,62
!CAL,1,"MSG	3421481 !CAL Gains: cy:394.035 ty:394.035 by:394.035",,,62
!CAL,1,"MSG	3421481 !CAL Resolution (upd) at screen center: X=1.5, Y=0.7",,,62
!CAL,1,"MSG	3421481 !CAL Gain Change Proportion: X: 0.010 Y: 0.000",,,62
!CAL,1,"MSG	3421481 !CAL Gain Ratio (Gy/Gx) = 2.233",,,62
!CAL,1,"MSG	3421481 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,62
!CAL,1,"MSG	3421481 !CAL PCR gain ratio(x,y) = 2.333, 2.333",,,62
!CAL,1,"MSG	3421481 !CAL CR gain match(x,y) = 1.010, 1.010",,,62
!CAL,1,"MSG	3421481 !CAL Slip rotation correction OFF",,,62
!CAL,1,"MSG	3421485 !CAL CALIBRATION H3 L LEFT    GOOD ",,,62
!CAL,1,"MSG	3430067 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.71 avg. 0.97 max  OFFSET 0.71 deg. -34.5,0.0 pix.",,,62
VALIDATE,1,"MSG	3430067 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.69 deg.  -33.3,0.0 pix.",,,62
