type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	16403756 DISPLAY_COORDS 0 0 1023 767",,,68
!CAL,1,"MSG	16415746 !CAL ",,,68
!CAL,1,"MSG	16415746 !CAL Calibration points:  ",,,68
!CAL,1,"MSG	16415746 !CAL -3.5, -54.8         0,   -711   ",,,68
!CAL,1,"MSG	16415746 !CAL -18.0, -53.8     -2478,   -711   ",,,68
!CAL,1,"MSG	16415747 !CAL  11.2, -54.3      2478,   -711   ",,,68
!CAL,1,"MSG	16415747 !CAL eye check box: (L,R,T,B)",,,68
!CAL,1,"MSG	16415747 !CAL href cal range: (L,R,T,B)",,,68
!CAL,1,"MSG	16415747 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,68
!CAL,1,"MSG	16415747 !CAL Prerotate (eye, ref : cos, sin:  0.99985 -0.017564       1     0",,,68
!CAL,1,"MSG	16415747 !CAL Gains: cx:169.933 lx:172.733 rx:167.132",,,68
!CAL,1,"MSG	16415747 !CAL Gains: cy:379.879 ty:379.881 by:379.881",,,68
!CAL,1,"MSG	16415747 !CAL Resolution (upd) at screen center: X=1.5, Y=0.7",,,68
!CAL,1,"MSG	16415747 !CAL Gain Change Proportion: X: 0.034 Y: 0.000",,,68
!CAL,1,"MSG	16415747 !CAL Gain Ratio (Gy/Gx) = 2.235",,,68
!CAL,1,"MSG	16415747 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,68
!CAL,1,"MSG	16415748 !CAL PCR gain ratio(x,y) = 2.873, 2.873",,,68
!CAL,1,"MSG	16415748 !CAL CR gain match(x,y) = 1.010, 1.010",,,68
!CAL,1,"MSG	16415748 !CAL Slip rotation correction OFF",,,68
!CAL,1,"MSG	16415751 !CAL CALIBRATION H3 L LEFT    GOOD ",,,68
!CAL,1,"MSG	16423793 !CAL VALIDATION H3 L LEFT  POOR ERROR 1.14 avg. 2.64 max  OFFSET 1.14 deg. 55.0,0.0 pix.",,,68
VALIDATE,1,"MSG	16423793 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.27 deg.  12.8,0.0 pix.",,,68
VALIDATE,1,"MSG	16423793 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 2.64 deg.  127.0,0.0 pix.",,,68
VALIDATE,1,"MSG	16423793 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.16 deg.  7.5,0.0 pix.",,,68
!CAL,1,"MSG	16934455 !CAL ",,,68
!CAL,1,"MSG	16934455 !CAL Calibration points:  ",,,68
!CAL,1,"MSG	16934455 !CAL -6.4, -45.8         0,   -711   ",,,68
!CAL,1,"MSG	16934455 !CAL -20.6, -45.4     -2478,   -711   ",,,68
!CAL,1,"MSG	16934455 !CAL  9.0, -45.9      2478,   -711   ",,,68
!CAL,1,"MSG	16934455 !CAL eye check box: (L,R,T,B)",,,68
!CAL,1,"MSG	16934455 !CAL href cal range: (L,R,T,B)",,,68
!CAL,1,"MSG	16934456 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,68
!CAL,1,"MSG	16934456 !CAL Prerotate (eye, ref : cos, sin:  0.99988 -0.015201       1     0",,,68
!CAL,1,"MSG	16934456 !CAL Gains: cx:166.988 lx:183.611 rx:150.366",,,68
!CAL,1,"MSG	16934456 !CAL Gains: cy:374.234 ty:374.234 by:374.235",,,68
!CAL,1,"MSG	16934456 !CAL Resolution (upd) at screen center: X=1.6, Y=0.7",,,68
!CAL,1,"MSG	16934456 !CAL Gain Change Proportion: X: 0.221 Y: 0.000",,,68
!CAL,1,"MSG	16934456 !CAL Gain Ratio (Gy/Gx) = 2.241",,,68
!CAL,1,"MSG	16934456 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,68
!CAL,1,"MSG	16934456 !CAL PCR gain ratio(x,y) = 2.589, 2.589",,,68
!CAL,1,"MSG	16934456 !CAL CR gain match(x,y) = 1.010, 1.010",,,68
!CAL,1,"MSG	16934456 !CAL Slip rotation correction OFF",,,68
!CAL,1,"MSG	16934460 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,68
!CAL,1,"MSG	16942446 !CAL VALIDATION H3 R RIGHT GOOD ERROR 0.13 avg. 0.18 max  OFFSET 0.11 deg. 5.1,0.0 pix.",,,68
VALIDATE,1,"MSG	16942446 VALIDATE R 4POINT 0 RIGHT  at 512,200  OFFSET 0.18 deg.  8.7,0.0 pix.",,,68
VALIDATE,1,"MSG	16942447 VALIDATE R 4POINT 1 RIGHT  at 61,200  OFFSET 0.05 deg.  2.6,0.0 pix.",,,68
VALIDATE,1,"MSG	16942447 VALIDATE R 4POINT 2 RIGHT  at 962,200  OFFSET 0.09 deg.  -4.1,0.0 pix.",,,68
RECCFG,1,"MSG	16944930 RECCFG CR 1000 2 1 R",,,68
ELCLCFG,1,"MSG	16944930 ELCLCFG MTABLE",,,68
GAZE_COORDS,1,"MSG	16944930 GAZE_COORDS 0.00 0.00 1023.00 767.00",,,68
THRESHOLDS,1,"MSG	16944930 THRESHOLDS R 53 168",,,68
ELCL_PROC,1,"MSG	16944930 ELCL_PROC ELLIPSE  (5)",,,68
ELCL_EFIT_PARAMS,1,"MSG	16944930 ELCL_EFIT_PARAMS 1.01 4.00  0.15 0.05  0.65 0.65  0.00 0.00 0.30",,,68
!MODE,1,"MSG	16944931 !MODE RECORD CR 1000 2 1 R",,,68
TRIALID,1046,"MSG	16945976 TRIALID 1",,,68
93,1853,"MSG	16946783 93",,,68
53,3384,"MSG	16948314 53",,,68
210,3916,"MSG	16948846 210",,,68
20,4819,"MSG	16949749 20",,,68
TRIAL_RESULT,5992,"MSG	16950922 TRIAL_RESULT 0",,,68
TRIALID,5992,"MSG	16950922 TRIALID 2",,,68
94,6704,"MSG	16951634 94",,,68
52,8220,"MSG	16953150 52",,,68
210,8700,"MSG	16953630 210",,,68
110,9653,"MSG	16954583 110",,,68
TRIAL_RESULT,10828,"MSG	16955758 TRIAL_RESULT 0",,,68
TRIALID,10828,"MSG	16955758 TRIALID 3",,,68
91,11537,"MSG	16956467 91",,,68
51,13052,"MSG	16957982 51",,,68
210,13622,"MSG	16958552 210",,,68
20,14520,"MSG	16959450 20",,,68
TRIAL_RESULT,15659,"MSG	16960589 TRIAL_RESULT 0",,,68
TRIALID,15659,"MSG	16960589 TRIALID 4",,,68
92,16186,"MSG	16961116 92",,,68
52,17703,"MSG	16962633 52",,,68
210,18413,"MSG	16963343 210",,,68
110,19353,"MSG	16964283 110",,,68
TRIAL_RESULT,20310,"MSG	16965240 TRIAL_RESULT 0",,,68
TRIALID,20311,"MSG	16965241 TRIALID 5",,,68
93,21301,"MSG	16966231 93",,,68
52,22819,"MSG	16967749 52",,,68
210,23484,"MSG	16968414 210",,,68
20,24419,"MSG	16969349 20",,,68
TRIAL_RESULT,25426,"MSG	16970356 TRIAL_RESULT 0",,,68
TRIALID,25427,"MSG	16970357 TRIALID 6",,,68
93,26084,"MSG	16971014 93",,,68
53,27603,"MSG	16972533 53",,,68
210,28022,"MSG	16972952 210",,,68
20,28952,"MSG	16973882 20",,,68
TRIAL_RESULT,30215,"MSG	16975145 TRIAL_RESULT 0",,,68
TRIALID,30215,"MSG	16975145 TRIALID 7",,,68
92,31187,"MSG	16976117 92",,,68
51,32703,"MSG	16977633 51",,,68
210,33066,"MSG	16977996 210",,,68
110,33987,"MSG	16978917 110",,,68
TRIAL_RESULT,35314,"MSG	16980244 TRIAL_RESULT 0",,,68
TRIALID,35314,"MSG	16980244 TRIALID 8",,,68
91,36120,"MSG	16981050 91",,,68
51,37636,"MSG	16982566 51",,,68
210,38261,"MSG	16983191 210",,,68
20,39203,"MSG	16984133 20",,,68
TRIAL_RESULT,40248,"MSG	16985178 TRIAL_RESULT 0",,,68
TRIALID,40249,"MSG	16985179 TRIALID 9",,,68
94,41237,"MSG	16986167 94",,,68
51,42754,"MSG	16987684 51",,,68
200,43319,"MSG	16988249 200",,,68
10,44254,"MSG	16989184 10",,,68
TRIAL_RESULT,45365,"MSG	16990295 TRIAL_RESULT 0",,,68
TRIALID,45365,"MSG	16990295 TRIALID 10",,,68
93,46201,"MSG	16991131 93",,,68
52,47720,"MSG	16992650 52",,,68
210,48258,"MSG	16993188 210",,,68
20,49204,"MSG	16994134 20",,,68
TRIAL_RESULT,50325,"MSG	16995255 TRIAL_RESULT 0",,,68
TRIALID,50326,"MSG	16995256 TRIALID 11",,,68
91,51220,"MSG	16996150 91",,,68
52,52737,"MSG	16997667 52",,,68
210,53320,"MSG	16998250 210",,,68
20,54254,"MSG	16999184 20",,,68
TRIAL_RESULT,55348,"MSG	17000278 TRIAL_RESULT 0",,,68
TRIALID,55348,"MSG	17000278 TRIALID 12",,,68
92,56121,"MSG	17001051 92",,,68
52,57637,"MSG	17002567 52",,,68
210,58326,"MSG	17003256 210",,,68
110,59254,"MSG	17004184 110",,,68
TRIAL_RESULT,60248,"MSG	17005178 TRIAL_RESULT 0",,,68
TRIALID,60248,"MSG	17005178 TRIALID 13",,,68
94,60854,"MSG	17005784 94",,,68
52,62370,"MSG	17007300 52",,,68
210,62838,"MSG	17007768 210",,,68
110,63721,"MSG	17008651 110",,,68
TRIAL_RESULT,64972,"MSG	17009902 TRIAL_RESULT 0",,,68
TRIALID,64972,"MSG	17009902 TRIALID 14",,,68
91,65988,"MSG	17010918 91",,,68
52,67504,"MSG	17012434 52",,,68
210,68115,"MSG	17013045 210",,,68
20,69021,"MSG	17013951 20",,,68
TRIAL_RESULT,70104,"MSG	17015034 TRIAL_RESULT 0",,,68
TRIALID,70104,"MSG	17015034 TRIALID 15",,,68
93,70987,"MSG	17015917 93",,,68
52,72504,"MSG	17017434 52",,,68
210,72965,"MSG	17017895 210",,,68
20,73937,"MSG	17018867 20",,,68
TRIAL_RESULT,75118,"MSG	17020048 TRIAL_RESULT 0",,,68
TRIALID,75118,"MSG	17020048 TRIALID 16",,,68
92,75971,"MSG	17020901 92",,,68
52,77488,"MSG	17022418 52",,,68
210,78132,"MSG	17023062 210",,,68
110,79054,"MSG	17023984 110",,,68
TRIAL_RESULT,80090,"MSG	17025020 TRIAL_RESULT 0",,,68
TRIALID,80090,"MSG	17025020 TRIALID 17",,,68
93,80721,"MSG	17025651 93",,,68
51,82238,"MSG	17027168 51",,,68
210,82836,"MSG	17027766 210",,,68
20,83755,"MSG	17028685 20",,,68
TRIAL_RESULT,84845,"MSG	17029775 TRIAL_RESULT 0",,,68
TRIALID,84845,"MSG	17029775 TRIALID 18",,,68
93,85522,"MSG	17030452 93",,,68
52,87038,"MSG	17031968 52",,,68
210,87584,"MSG	17032514 210",,,68
20,88522,"MSG	17033452 20",,,68
TRIAL_RESULT,89637,"MSG	17034567 TRIAL_RESULT 0",,,68
TRIALID,89637,"MSG	17034567 TRIALID 19",,,68
94,90521,"MSG	17035451 94",,,68
51,92038,"MSG	17036968 51",,,68
200,92799,"MSG	17037729 200",,,68
10,93771,"MSG	17038701 10",,,68
TRIAL_RESULT,94650,"MSG	17039580 TRIAL_RESULT 0",,,68
TRIALID,94651,"MSG	17039581 TRIALID 20",,,68
92,95255,"MSG	17040185 92",,,68
51,96771,"MSG	17041701 51",,,68
210,97635,"MSG	17042565 210",,,68
10,98538,"MSG	17043468 10",,,68
TRIAL_RESULT,99378,"MSG	17044308 TRIAL_RESULT 0",,,68
TRIALID,99379,"MSG	17044309 TRIALID 21",,,68
93,100388,"MSG	17045318 93",,,68
52,101906,"MSG	17046836 52",,,68
210,102435,"MSG	17047365 210",,,68
20,103355,"MSG	17048285 20",,,68
TRIAL_RESULT,104516,"MSG	17049446 TRIAL_RESULT 0",,,68
TRIALID,104516,"MSG	17049446 TRIALID 22",,,68
91,105471,"MSG	17050401 91",,,68
53,106989,"MSG	17051919 53",,,68
210,107461,"MSG	17052391 210",,,68
20,108355,"MSG	17053285 20",,,68
TRIAL_RESULT,109592,"MSG	17054522 TRIAL_RESULT 0",,,68
TRIALID,109593,"MSG	17054523 TRIALID 23",,,68
91,110487,"MSG	17055417 91",,,68
52,112005,"MSG	17056935 52",,,68
210,112693,"MSG	17057623 210",,,68
20,113605,"MSG	17058535 20",,,68
TRIAL_RESULT,114611,"MSG	17059541 TRIAL_RESULT 0",,,68
TRIALID,114612,"MSG	17059542 TRIALID 24",,,68
93,115372,"MSG	17060302 93",,,68
51,116888,"MSG	17061818 51",,,68
210,117478,"MSG	17062408 210",,,68
20,118372,"MSG	17063302 20",,,68
TRIAL_RESULT,119500,"MSG	17064430 TRIAL_RESULT 0",,,68
TRIALID,119501,"MSG	17064431 TRIALID 25",,,68
92,120389,"MSG	17065319 92",,,68
53,121905,"MSG	17066835 53",,,68
210,122386,"MSG	17067316 210",,,68
10,123306,"MSG	17068236 10",,,68
TRIAL_RESULT,124505,"MSG	17069435 TRIAL_RESULT 0",,,68
