type,sample,value,offset,duration,subject
10,44730,"MSG	10587395 10",,,28
TRIAL_RESULT,45614,"MSG	10588279 TRIAL_RESULT 0",,,28
TRIALID,45614,"MSG	10588279 TRIALID 10",,,28
91,46430,"MSG	10589095 91",,,28
53,47947,"MSG	10590612 53",,,28
210,48551,"MSG	10591216 210",,,28
20,49563,"MSG	10592228 20",,,28
TRIAL_RESULT,50554,"MSG	10593219 TRIAL_RESULT 0",,,28
TRIALID,50554,"MSG	10593219 TRIALID 11",,,28
93,51513,"MSG	10594178 93",,,28
52,53029,"MSG	10595694 52",,,28
200,53669,"MSG	10596334 200",,,28
10,54663,"MSG	10597328 10",,,28
TRIAL_RESULT,55635,"MSG	10598300 TRIAL_RESULT 0",,,28
TRIALID,55636,"MSG	10598301 TRIALID 12",,,28
92,56297,"MSG	10598962 92",,,28
51,57814,"MSG	10600479 51",,,28
210,58688,"MSG	10601353 210",,,28
10,59580,"MSG	10602245 10",,,28
TRIAL_RESULT,60424,"MSG	10603089 TRIAL_RESULT 0",,,28
TRIALID,60424,"MSG	10603089 TRIALID 13",,,28
93,61363,"MSG	10604028 93",,,28
51,62880,"MSG	10605545 51",,,28
210,63750,"MSG	10606415 210",,,28
10,64748,"MSG	10607413 10",,,28
TRIAL_RESULT,65513,"MSG	10608178 TRIAL_RESULT 0",,,28
TRIALID,65513,"MSG	10608178 TRIALID 14",,,28
93,66380,"MSG	10609045 93",,,28
53,67897,"MSG	10610562 53",,,28
200,68487,"MSG	10611152 200",,,28
10,69464,"MSG	10612129 10",,,28
TRIAL_RESULT,70498,"MSG	10613163 TRIAL_RESULT 0",,,28
TRIALID,70498,"MSG	10613163 TRIALID 15",,,28
91,71313,"MSG	10613978 91",,,28
51,72831,"MSG	10615496 51",,,28
210,73550,"MSG	10616215 210",,,28
10,74581,"MSG	10617246 10",,,28
TRIAL_RESULT,75434,"MSG	10618099 TRIAL_RESULT 0",,,28
TRIALID,75435,"MSG	10618100 TRIALID 16",,,28
92,76230,"MSG	10618895 92",,,28
51,77748,"MSG	10620413 51",,,28
200,78446,"MSG	10621111 200",,,28
10,79348,"MSG	10622013 10",,,28
TRIAL_RESULT,80356,"MSG	10623021 TRIAL_RESULT 0",,,28
TRIALID,80357,"MSG	10623022 TRIALID 17",,,28
94,81265,"MSG	10623930 94",,,28
53,82780,"MSG	10625445 53",,,28
200,83342,"MSG	10626007 200",,,28
10,84397,"MSG	10627062 10",,,28
TRIAL_RESULT,85381,"MSG	10628046 TRIAL_RESULT 0",,,28
TRIALID,85382,"MSG	10628047 TRIALID 18",,,28
91,86197,"MSG	10628862 91",,,28
52,87714,"MSG	10630379 52",,,28
210,88244,"MSG	10630909 210",,,28
10,89265,"MSG	10631930 10",,,28
TRIAL_RESULT,90319,"MSG	10632984 TRIAL_RESULT 0",,,28
TRIALID,90320,"MSG	10632985 TRIALID 19",,,28
92,90864,"MSG	10633529 92",,,28
52,92381,"MSG	10635046 52",,,28
210,93270,"MSG	10635935 210",,,28
10,94314,"MSG	10636979 10",,,28
