type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	1976961 DISPLAY_COORDS 0 0 1023 767",,,58
!CAL,1,"MSG	1986259 !CAL ",,,58
!CAL,1,"MSG	1986259 !CAL Calibration points:  ",,,58
!CAL,1,"MSG	1986259 !CAL  4.9, -43.5         0,   -711   ",,,58
!CAL,1,"MSG	1986259 !CAL -9.8, -43.9     -2478,   -711   ",,,58
!CAL,1,"MSG	1986260 !CAL  20.3, -43.3      2478,   -711   ",,,58
!CAL,1,"MSG	1986260 !CAL eye check box: (L,R,T,B)",,,58
!CAL,1,"MSG	1986260 !CAL href cal range: (L,R,T,B)",,,58
!CAL,1,"MSG	1986260 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,58
!CAL,1,"MSG	1986260 !CAL Prerotate (eye, ref : cos, sin:  0.9998  0.0198       1     0",,,58
!CAL,1,"MSG	1986260 !CAL Gains: cx:164.489 lx:173.762 rx:155.219",,,58
!CAL,1,"MSG	1986260 !CAL Gains: cy:368.038 ty:368.036 by:368.038",,,58
!CAL,1,"MSG	1986260 !CAL Resolution (upd) at screen center: X=1.6, Y=0.7",,,58
!CAL,1,"MSG	1986260 !CAL Gain Change Proportion: X: 0.119 Y: 0.000",,,58
!CAL,1,"MSG	1986260 !CAL Gain Ratio (Gy/Gx) = 2.237",,,58
!CAL,1,"MSG	1986260 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,58
!CAL,1,"MSG	1986260 !CAL PCR gain ratio(x,y) = 2.324, 2.324",,,58
!CAL,1,"MSG	1986261 !CAL CR gain match(x,y) = 1.010, 1.010",,,58
!CAL,1,"MSG	1986261 !CAL Slip rotation correction OFF",,,58
!CAL,1,"MSG	1986264 !CAL CALIBRATION H3 L LEFT    GOOD ",,,58
!CAL,1,"MSG	1992191 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.17 avg. 0.29 max  OFFSET 0.05 deg. 2.5,0.0 pix.",,,58
VALIDATE,1,"MSG	1992191 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.18 deg.  8.6,0.0 pix.",,,58
VALIDATE,1,"MSG	1992191 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.10 deg.  4.7,0.0 pix.",,,58
VALIDATE,1,"MSG	1992191 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.29 deg.  -14.2,0.0 pix.",,,58
!CAL,1,"MSG	2660341 !CAL ",,,58
!CAL,1,"MSG	2660341 !CAL Calibration points:  ",,,58
!CAL,1,"MSG	2660341 !CAL  6.6, -49.3         0,   -711   ",,,58
!CAL,1,"MSG	2660341 !CAL -9.4, -48.7     -2478,   -711   ",,,58
!CAL,1,"MSG	2660341 !CAL  22.8, -48.6      2478,   -711   ",,,58
!CAL,1,"MSG	2660341 !CAL eye check box: (L,R,T,B)",,,58
!CAL,1,"MSG	2660341 !CAL href cal range: (L,R,T,B)",,,58
!CAL,1,"MSG	2660341 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,58
!CAL,1,"MSG	2660341 !CAL Prerotate (eye, ref : cos, sin:  0.99999  0.0044566       1     0",,,58
!CAL,1,"MSG	2660342 !CAL Gains: cx:153.467 lx:156.596 rx:150.337",,,58
!CAL,1,"MSG	2660342 !CAL Gains: cy:343.326 ty:343.326 by:343.326",,,58
!CAL,1,"MSG	2660342 !CAL Resolution (upd) at screen center: X=1.7, Y=0.8",,,58
!CAL,1,"MSG	2660342 !CAL Gain Change Proportion: X: 0.042 Y: 0.000",,,58
!CAL,1,"MSG	2660342 !CAL Gain Ratio (Gy/Gx) = 2.237",,,58
!CAL,1,"MSG	2660342 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,58
!CAL,1,"MSG	2660342 !CAL PCR gain ratio(x,y) = 2.599, 2.599",,,58
!CAL,1,"MSG	2660342 !CAL CR gain match(x,y) = 1.010, 1.010",,,58
!CAL,1,"MSG	2660342 !CAL Slip rotation correction OFF",,,58
!CAL,1,"MSG	2660345 !CAL CALIBRATION H3 L LEFT    GOOD ",,,58
!CAL,1,"MSG	2666928 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.20 avg. 0.55 max  OFFSET 0.02 deg. -0.8,0.0 pix.",,,58
VALIDATE,1,"MSG	2666929 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.14 deg.  6.7,0.0 pix.",,,58
VALIDATE,1,"MSG	2666929 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.11 deg.  -5.4,0.0 pix.",,,58
VALIDATE,1,"MSG	2666929 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.55 deg.  -26.4,0.0 pix.",,,58
RECCFG,1,"MSG	2672860 RECCFG CR 1000 2 1 L",,,58
ELCLCFG,1,"MSG	2672860 ELCLCFG MTABLE",,,58
GAZE_COORDS,1,"MSG	2672860 GAZE_COORDS 0.00 0.00 1023.00 767.00",,,58
THRESHOLDS,1,"MSG	2672860 THRESHOLDS L 50 199",,,58
ELCL_PROC,1,"MSG	2672860 ELCL_PROC CENTROID (3)",,,58
ELCL_PCR_PARAM,1,"MSG	2672860 ELCL_PCR_PARAM 5 3.0",,,58
!MODE,1,"MSG	2672861 !MODE RECORD CR 1000 2 1 L",,,58
TRIALID,1042,"MSG	2673902 TRIALID 1",,,58
91,1772,"MSG	2674632 91",,,58
51,3305,"MSG	2676165 51",,,58
210,3916,"MSG	2676776 210",,,58
10,4886,"MSG	2677746 10",,,58
TRIAL_RESULT,5955,"MSG	2678815 TRIAL_RESULT 0",,,58
TRIALID,5956,"MSG	2678816 TRIALID 2",,,58
93,6722,"MSG	2679582 93",,,58
53,8238,"MSG	2681098 53",,,58
210,8800,"MSG	2681660 210",,,58
20,9704,"MSG	2682564 20",,,58
TRIAL_RESULT,10859,"MSG	2683719 TRIAL_RESULT 0",,,58
TRIALID,10859,"MSG	2683719 TRIALID 3",,,58
91,11838,"MSG	2684698 91",,,58
52,13354,"MSG	2686214 52",,,58
210,13875,"MSG	2686735 210",,,58
20,14822,"MSG	2687682 20",,,58
TRIAL_RESULT,15958,"MSG	2688818 TRIAL_RESULT 0",,,58
TRIALID,15959,"MSG	2688819 TRIALID 4",,,58
93,16938,"MSG	2689798 93",,,58
52,18455,"MSG	2691315 52",,,58
200,19027,"MSG	2691887 200",,,58
10,19922,"MSG	2692782 10",,,58
TRIAL_RESULT,21058,"MSG	2693918 TRIAL_RESULT 0",,,58
TRIALID,21059,"MSG	2693919 TRIALID 5",,,58
94,21738,"MSG	2694598 94",,,58
53,23255,"MSG	2696115 53",,,58
210,23826,"MSG	2696686 210",,,58
110,24755,"MSG	2697615 110",,,58
TRIAL_RESULT,25865,"MSG	2698725 TRIAL_RESULT 0",,,58
TRIALID,25865,"MSG	2698725 TRIALID 6",,,58
92,26856,"MSG	2699716 92",,,58
52,28372,"MSG	2701232 52",,,58
110,30205,"MSG	2703065 110",,,58
