type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	1644319 DISPLAY_COORDS 0 0 1023 767",,,34
!CAL,1,"MSG	2180280 !CAL ",,,34
!CAL,1,"MSG	2180280 !CAL Calibration points:  ",,,34
!CAL,1,"MSG	2180280 !CAL  0.2, -44.6         0,   -711   ",,,34
!CAL,1,"MSG	2180280 !CAL -15.2, -44.1     -2478,   -711   ",,,34
!CAL,1,"MSG	2180280 !CAL  16.8, -44.2      2478,   -711   ",,,34
!CAL,1,"MSG	2180280 !CAL eye check box: (L,R,T,B)",,,34
!CAL,1,"MSG	2180281 !CAL href cal range: (L,R,T,B)",,,34
!CAL,1,"MSG	2180281 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,34
!CAL,1,"MSG	2180281 !CAL Prerotate (eye, ref : cos, sin:  0.99999 -0.0035476       1     0",,,34
!CAL,1,"MSG	2180281 !CAL Gains: cx:154.493 lx:169.261 rx:139.725",,,34
!CAL,1,"MSG	2180281 !CAL Gains: cy:346.309 ty:346.307 by:346.307",,,34
!CAL,1,"MSG	2180281 !CAL Resolution (upd) at screen center: X=1.7, Y=0.8",,,34
!CAL,1,"MSG	2180281 !CAL Gain Change Proportion: X: 0.211 Y: 0.000",,,34
!CAL,1,"MSG	2180281 !CAL Gain Ratio (Gy/Gx) = 2.242",,,34
!CAL,1,"MSG	2180281 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,34
!CAL,1,"MSG	2180281 !CAL PCR gain ratio(x,y) = 2.231, 2.231",,,34
!CAL,1,"MSG	2180281 !CAL CR gain match(x,y) = 1.010, 1.010",,,34
!CAL,1,"MSG	2180281 !CAL Slip rotation correction OFF",,,34
!CAL,1,"MSG	2180285 !CAL CALIBRATION H3 R RIGHT   GOOD ",,,34
!CAL,1,"MSG	2187585 !CAL VALIDATION H3 R RIGHT GOOD ERROR 0.18 avg. 0.41 max  OFFSET 0.09 deg. -4.4,0.0 pix.",,,34
VALIDATE,1,"MSG	2187585 VALIDATE R 4POINT 0 RIGHT  at 512,200  OFFSET 0.14 deg.  -6.6,0.0 pix.",,,34
VALIDATE,1,"MSG	2187585 VALIDATE R 4POINT 1 RIGHT  at 61,200  OFFSET 0.11 deg.  5.5,0.0 pix.",,,34
VALIDATE,1,"MSG	2187585 VALIDATE R 4POINT 2 RIGHT  at 962,200  OFFSET 0.41 deg.  -19.6,0.0 pix.",,,34
RECCFG,1,"MSG	2189000 RECCFG CR 1000 2 1 R",,,34
ELCLCFG,1,"MSG	2189000 ELCLCFG MTABLE",,,34
GAZE_COORDS,1,"MSG	2189000 GAZE_COORDS 0.00 0.00 1023.00 767.00",,,34
THRESHOLDS,1,"MSG	2189000 THRESHOLDS R 47 219",,,34
ELCL_PROC,1,"MSG	2189000 ELCL_PROC CENTROID (3)",,,34
ELCL_PCR_PARAM,1,"MSG	2189000 ELCL_PCR_PARAM 5 3.0",,,34
!MODE,1,"MSG	2189001 !MODE RECORD CR 1000 2 1 R",,,34
TRIALID,1053,"MSG	2190053 TRIALID 1",,,34
91,1656,"MSG	2190656 91",,,34
51,3172,"MSG	2192172 51",,,34
210,4061,"MSG	2193061 210",,,34
10,5054,"MSG	2194054 10",,,34
TRIAL_RESULT,5826,"MSG	2194826 TRIAL_RESULT 0",,,34
TRIALID,5827,"MSG	2194827 TRIALID 2",,,34
92,6673,"MSG	2195673 92",,,34
53,8189,"MSG	2197189 53",,,34
210,8838,"MSG	2197838 210",,,34
110,9739,"MSG	2198739 110",,,34
TRIAL_RESULT,10812,"MSG	2199812 TRIAL_RESULT 0",,,34
TRIALID,10812,"MSG	2199812 TRIALID 3",,,34
