type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	9995977 DISPLAY_COORDS 0 0 1023 767",,,67
!CAL,1,"MSG	10051527 !CAL ",,,67
!CAL,1,"MSG	10051527 !CAL Calibration points:  ",,,67
!CAL,1,"MSG	10051527 !CAL -6.0, -36.4         0,   -711   ",,,67
!CAL,1,"MSG	10051527 !CAL -17.0, -36.2     -2478,   -711   ",,,67
!CAL,1,"MSG	10051527 !CAL  7.1, -36.3      2478,   -711   ",,,67
!CAL,1,"MSG	10051527 !CAL eye check box: (L,R,T,B)",,,67
!CAL,1,"MSG	10051528 !CAL href cal range: (L,R,T,B)",,,67
!CAL,1,"MSG	10051528 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,67
!CAL,1,"MSG	10051528 !CAL Prerotate (eye, ref : cos, sin:  0.99999 -0.0039836       1     0",,,67
!CAL,1,"MSG	10051528 !CAL Gains: cx:204.142 lx:246.765 rx:161.521",,,67
!CAL,1,"MSG	10051528 !CAL Gains: cy:459.756 ty:459.754 by:459.756",,,67
!CAL,1,"MSG	10051528 !CAL Resolution (upd) at screen center: X=1.3, Y=0.6",,,67
!CAL,1,"MSG	10051528 !CAL Gain Change Proportion: X: 0.528 Y: 0.000",,,67
!CAL,1,"MSG	10051528 !CAL Gain Ratio (Gy/Gx) = 2.252",,,67
!CAL,1,"MSG	10051528 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,67
!CAL,1,"MSG	10051528 !CAL PCR gain ratio(x,y) = 2.405, 2.405",,,67
!CAL,1,"MSG	10051528 !CAL CR gain match(x,y) = 1.010, 1.010",,,67
!CAL,1,"MSG	10051528 !CAL Slip rotation correction OFF",,,67
!CAL,1,"MSG	10051532 !CAL CALIBRATION H3 L LEFT    GOOD ",,,67
!CAL,1,"MSG	10058361 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.54 avg. 0.65 max  OFFSET 0.54 deg. 26.0,0.0 pix.",,,67
VALIDATE,1,"MSG	10058361 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.39 deg.  19.1,0.0 pix.",,,67
VALIDATE,1,"MSG	10058361 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.61 deg.  29.5,0.0 pix.",,,67
VALIDATE,1,"MSG	10058361 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.65 deg.  31.2,0.0 pix.",,,67
!CAL,1,"MSG	10580306 !CAL ",,,67
!CAL,1,"MSG	10580306 !CAL Calibration points:  ",,,67
!CAL,1,"MSG	10580306 !CAL -3.1, -35.2         0,   -711   ",,,67
!CAL,1,"MSG	10580306 !CAL -15.9, -35.0     -2478,   -711   ",,,67
!CAL,1,"MSG	10580307 !CAL  9.7, -35.0      2478,   -711   ",,,67
!CAL,1,"MSG	10580307 !CAL eye check box: (L,R,T,B)",,,67
!CAL,1,"MSG	10580307 !CAL href cal range: (L,R,T,B)",,,67
!CAL,1,"MSG	10580307 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,67
!CAL,1,"MSG	10580307 !CAL Prerotate (eye, ref : cos, sin:     1 -0.00025752       1     0",,,67
