type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	15632152 DISPLAY_COORDS 0 0 1023 767",,,72
!CAL,1,"MSG	15643027 !CAL ",,,72
!CAL,1,"MSG	15643027 !CAL Calibration points:  ",,,72
!CAL,1,"MSG	15643027 !CAL -1.5, -53.2         0,   -711   ",,,72
!CAL,1,"MSG	15643027 !CAL -18.5, -52.2     -2478,   -711   ",,,72
!CAL,1,"MSG	15643027 !CAL  16.1, -53.8      2478,   -711   ",,,72
!CAL,1,"MSG	15643027 !CAL eye check box: (L,R,T,B)",,,72
!CAL,1,"MSG	15643027 !CAL href cal range: (L,R,T,B)",,,72
!CAL,1,"MSG	15643027 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,72
!CAL,1,"MSG	15643027 !CAL Prerotate (eye, ref : cos, sin:  0.99897 -0.045463       1     0",,,72
!CAL,1,"MSG	15643027 !CAL Gains: cx:143.660 lx:148.324 rx:138.997",,,72
!CAL,1,"MSG	15643027 !CAL Gains: cy:319.899 ty:319.899 by:319.899",,,72
!CAL,1,"MSG	15643028 !CAL Resolution (upd) at screen center: X=1.8, Y=0.8",,,72
!CAL,1,"MSG	15643028 !CAL Gain Change Proportion: X: 0.067 Y: 0.000",,,72
!CAL,1,"MSG	15643028 !CAL Gain Ratio (Gy/Gx) = 2.227",,,72
!CAL,1,"MSG	15643028 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,72
!CAL,1,"MSG	15643028 !CAL PCR gain ratio(x,y) = 2.805, 2.805",,,72
!CAL,1,"MSG	15643028 !CAL CR gain match(x,y) = 1.010, 1.010",,,72
!CAL,1,"MSG	15643028 !CAL Slip rotation correction OFF",,,72
!CAL,1,"MSG	15643031 !CAL CALIBRATION H3 L LEFT    GOOD ",,,72
!CAL,1,"MSG	15649540 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.09 avg. 0.30 max  OFFSET 0.09 deg. -4.5,0.0 pix.",,,72
VALIDATE,1,"MSG	15649540 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.04 deg.  -2.0,0.0 pix.",,,72
VALIDATE,1,"MSG	15649540 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.09 deg.  -4.5,0.0 pix.",,,72
VALIDATE,1,"MSG	15649540 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.30 deg.  -14.5,0.0 pix.",,,72
!CAL,1,"MSG	16246786 !CAL ",,,72
!CAL,1,"MSG	16246786 !CAL Calibration points:  ",,,72
!CAL,1,"MSG	16246787 !CAL  1.1, -61.9         0,   -711   ",,,72
!CAL,1,"MSG	16246787 !CAL  3.5, -61.6     -2478,   -711   ",,,72
!CAL,1,"MSG	16246787 !CAL  20.4, -62.3      2478,   -711   ",,,72
!CAL,1,"MSG	16246787 !CAL eye check box: (L,R,T,B)",,,72
!CAL,1,"MSG	16246787 !CAL href cal range: (L,R,T,B)",,,72
!CAL,1,"MSG	16246787 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,72
!CAL,1,"MSG	16246787 !CAL Prerotate (eye, ref : cos, sin:  0.99974 -0.022866       1     0",,,72
!CAL,1,"MSG	16246787 !CAL Gains: cx:195.463 lx:1378.514 rx:1768.280",,,72
!CAL,1,"MSG	16246787 !CAL Gains: cy:652.715 ty:652.718 by:652.718",,,72
!CAL,1,"MSG	16246787 !CAL Resolution (upd) at screen center: X=1.3, Y=0.4",,,72
