type,sample,value,offset,duration,subject
DISPLAY_COORDS,1,"MSG	3263372 DISPLAY_COORDS 0 0 1023 767",,,2
!CAL,1,"MSG	3304535 !CAL ",,,2
!CAL,1,"MSG	3304535 !CAL Calibration points:  ",,,2
!CAL,1,"MSG	3304535 !CAL  0.0, -3.5         0,   -711   ",,,2
!CAL,1,"MSG	3304535 !CAL  19.1,  3.6     -2478,   -711   ",,,2
!CAL,1,"MSG	3304535 !CAL  1.0, -3.4      2478,   -711   ",,,2
!CAL,1,"MSG	3304535 !CAL eye check box: (L,R,T,B)",,,2
!CAL,1,"MSG	3304535 !CAL href cal range: (L,R,T,B)",,,2
!CAL,1,"MSG	3304535 !CAL Cal coeff:(X=a+bx+dxx,Y=f+goaly)",,,2
!CAL,1,"MSG	3304535 !CAL Prerotate (eye, ref : cos, sin:  0.93721  0.34875       1     0",,,2
!CAL,1,"MSG	3304536 !CAL Gains: cx:306.009 lx:2473.655 rx:2936.177",,,2
!CAL,1,"MSG	3304536 !CAL Gains: cy:539.756 ty:542.513 by:571.832",,,2
!CAL,1,"MSG	3304536 !CAL Resolution (upd) at screen center: X=0.9, Y=0.5",,,2
!CAL,1,"MSG	3304536 !CAL Gain Change Proportion: X: 0.187 Y: 0.054",,,2
!CAL,1,"MSG	3304536 !CAL Gain Ratio (Gy/Gx) = 1.764",,,2
!CAL,1,"MSG	3304536 !CAL Cross-Gain Ratios: X=0.000, Y=0.000 ",,,2
!CAL,1,"MSG	3304536 !CAL PCR gain ratio(x,y) = 0.266, 0.266",,,2
!CAL,1,"MSG	3304536 !CAL CR gain match(x,y) = 1.010, 1.010",,,2
!CAL,1,"MSG	3304536 !CAL Slip rotation correction OFF",,,2
!CAL,1,"MSG	3304539 !CAL CALIBRATION H3 L LEFT    GOOD ",,,2
!CAL,1,"MSG	3322909 !CAL VALIDATION H3 L LEFT  GOOD ERROR 0.31 avg. 0.60 max  OFFSET 0.23 deg. -10.9,0.0 pix.",,,2
VALIDATE,1,"MSG	3322909 VALIDATE L POINT 0  LEFT  at 512,200  OFFSET 0.60 deg.  -28.8,0.0 pix.",,,2
VALIDATE,1,"MSG	3322909 VALIDATE L POINT 1  LEFT  at 61,200  OFFSET 0.10 deg.  4.9,0.0 pix.",,,2
VALIDATE,1,"MSG	3322909 VALIDATE L POINT 2  LEFT  at 962,200  OFFSET 0.14 deg.  -7.0,0.0 pix.",,,2
!CAL,1,"MSG	3850657 !CAL ",,,2
!CAL,1,"MSG	3850657 !CAL Calibration points:  ",,,2
!CAL,1,"MSG	3850657 !CAL  112.6,  41.7         0,   -711   ",,,2
!CAL,1,"MSG	3850657 !CAL  102.0,  40.9     -2478,   -711   ",,,2
!CAL,1,"MSG	3850657 !CAL  121.0,  43.5      2478,   -711   ",,,2
!CAL,1,"MSG	3850657 !CAL eye check box: (L,R,T,B)",,,2
