subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
18,104,1,1,0.5,-0.5,0,3,NaN,0.3,3,460,1,1,460,0,0,0,NaN,-1.14744797946465,-1.14744797946465,750,0,0,neutral,0,1064.70914176447,200.344137340063
18,104,1,2,-0.5,-0.5,0.5,1,2,0.3,1,535,1,1,535,1,0,0,0,-0.544980856067381,-0.544980856067381,750,0,0,incongruent,0.1,1005.68016026462,511.181938787946
18,104,1,3,0.5,0.5,-0.5,4,4,0.3,4,543,1,1,543,1,0,0.2,NaN,-0.480717696238339,-0.480717696238339,750,1,0,congruent,1,1965.37587800792,1553.07572182988
18,104,1,5,-0.5,-0.5,-0.5,1,1,0.4,1,629,1,1,629,1,0,0.8,0.4,0.210111271923863,0.210111271923863,750,1,0,congruent,0.1,1442.79194779222,2183.83220256849
18,104,1,6,-0.5,-0.5,-0.5,2,2,0.4,2,401,1,1,401,0,0,1,0.6,-1.62138878320383,-1.62138878320383,750,1,0,congruent,0,466.06837957399,2712.29833771348
18,104,1,7,0.5,-0.5,-0.5,3,3,0.4,3,700,1,1,700,0,0,1,NaN,0.780446815406611,0.780446815406611,750,1,0,congruent,0,239.010131639874,521.437221439214
18,104,1,8,-0.5,0.5,0,1,NaN,0.4,1,448,1,1,448,1,0,0.8,0,-1.24384271920821,-1.24384271920821,750,0,0,neutral,0.1,359.494609621146,553.960346165538
18,104,1,9,-0.5,-0.5,-0.5,3,3,0.6,3,557,1,1,557,0,0,0.6,0.6,-0.368257166537515,-0.368257166537515,750,1,0,congruent,0,1206.28972784222,1004.75837947714
18,104,1,10,-0.5,-0.5,0,2,NaN,0.6,2,485,1,1,485,0,0,0.4,0.6,-0.946625604998893,-0.946625604998893,750,0,0,neutral,0,1394.49694711078,1495.61936709166
18,104,1,11,-0.5,0.5,-0.5,4,4,0.6,4,587,1,1,587,1,0,0.2,0.2,-0.127270317178608,-0.127270317178608,750,1,0,congruent,0.1,582.466496236995,1049.3724591983
18,104,1,12,-0.5,-0.5,-0.5,3,3,0.7,3,550,1,1,550,0,0,0.4,0.4,-0.424487431387927,-0.424487431387927,750,1,0,congruent,0,2319.90511905493,1780.5645754348
18,104,1,13,-0.5,0.5,0.5,1,2,0.7,1,540,1,1,540,1,0,0.4,0.4,-0.50481638117423,-0.50481638117423,750,0,0,incongruent,0.1,1276.04155678196,1318.25216953093
18,104,1,14,-0.5,0.5,0.5,2,3,0.8,2,707,1,1,707,1,0,0.4,0.6,0.836677080257022,0.836677080257022,750,0,0,incongruent,0.1,1199.88058767088,1098.28029169213
18,104,1,15,-0.5,0.5,-0.5,1,1,1,1,489,1,1,489,1,0,0.6,0.8,-0.914494025084372,-0.914494025084372,750,1,0,congruent,0.1,515.328265905549,127.124465121006
18,104,1,16,0.5,0.5,0.5,2,4,1,2,541,1,1,541,1,0,0.8,NaN,-0.496783486195599,-0.496783486195599,750,0,0,incongruent,1,1033.47846152546,602.991372416983
18,104,1,17,0.5,0.5,0,3,NaN,1,3,637,1,1,637,1,0,1,NaN,0.274374431752905,0.274374431752905,750,0,0,neutral,1,1748.30297842892,610.366869425025
18,104,1,18,0.5,-0.5,0.5,4,1,1,4,438,1,1,438,1,0,1.4,NaN,-1.32417166899452,-1.32417166899452,750,0,0,incongruent,1,587.334554172814,248.433504976672
18,104,1,19,-0.5,0.5,0,3,NaN,1,3,654,1,1,654,1,0,1.6,1,0.410933646389619,0.410933646389619,750,0,0,neutral,0.1,550.436942345586,396.324402672728
18,104,1,20,0.5,0.5,0.5,4,3,1,4,568,1,1,568,1,0,1.6,NaN,-0.279895321772583,-0.279895321772583,750,0,0,incongruent,1,1007.82159017564,684.120356164259
18,104,1,21,-0.5,0.5,0,2,NaN,1,2,906,1,0,906,0,0,1.8,1,2.43522318100444,2.43522318100444,750,0,0,neutral,0,1362.26131943397,1029.27228531819
18,104,1,22,-0.5,0.5,-0.5,1,1,0.8,1,449,1,1,449,1,0,1.4,0.8,-1.23580982422958,-1.23580982422958,750,1,0,congruent,0.1,3050.16337464158,456.65830207435
18,104,1,23,0.5,0.5,-0.5,4,4,0.8,4,535,1,1,535,1,0,1.2,NaN,-0.544980856067381,-0.544980856067381,750,1,0,congruent,1,954.207542925257,789.424666394074
18,104,1,24,-0.5,-0.5,0.5,3,1,0.8,2,919,0,0,NaN,0,0,1.2,0.2,2.53965081572664,NaN,750,0,1,incongruent,0,3348.06266215804,1607.77890707297
18,104,1,25,0.5,0.5,0,1,NaN,0.8,1,716,1,1,716,1,0,1,NaN,0.908973135064695,0.908973135064695,750,0,0,neutral,1,2188.01895735236,1008.9057107388
18,104,1,26,-0.5,0.5,-0.5,4,4,0.8,4,443,1,1,443,1,0,1,0.8,-1.28400719410136,-1.28400719410136,750,1,0,congruent,0.1,721.396392299953,1087.9463338055
18,104,1,27,0.5,-0.5,-0.5,1,1,0.8,1,675,1,1,675,1,0,1.2,NaN,0.579624440940854,0.579624440940854,750,1,0,congruent,1,1367.60736807464,754.252102115834
18,104,1,28,-0.5,0.5,0,2,NaN,0.8,2,718,1,1,718,1,0,1.4,0.8,0.925038925021955,0.925038925021955,750,0,0,neutral,0.1,603.944158369553,1679.40971393089
18,104,1,30,0.5,0.5,0,2,NaN,0.8,2,736,1,1,736,1,0,1.2,NaN,1.0696310346373,1.0696310346373,750,0,0,neutral,1,1991.66156929973,1525.5938864541
18,104,1,31,0.5,0.5,0.5,3,1,0.8,3,936,1,0,936,0,0,1.2,NaN,2.67621003036335,2.67621003036335,750,0,0,incongruent,0,3386.75635960213,686.937235743411
18,104,1,32,-0.5,-0.5,0.5,4,3,0.6,4,554,1,1,554,1,0,1,0,-0.392355851473406,-0.392355851473406,750,0,0,incongruent,0.1,2781.35763828668,473.978518245945
18,104,1,33,-0.5,0.5,0,2,NaN,0.6,2,632,1,1,632,1,0,0.8,0.8,0.234209956859753,0.234209956859753,750,0,0,neutral,0.1,885.507027246654,784.717842982348
18,104,1,35,0.5,0.5,-0.5,2,2,0.4,2,640,1,1,640,1,0,0.8,NaN,0.298473116688796,0.298473116688796,750,1,0,congruent,1,1699.42263988096,488.993516592004
18,104,1,36,-0.5,0.5,-0.5,3,3,0.6,4,497,0,1,NaN,0,0,0.8,0.8,-0.85023086525533,NaN,750,0,1,congruent,0,8159.47132791431,424.952998944349
18,104,1,37,-0.5,-0.5,0,2,NaN,0.4,2,724,1,1,724,0,0,0.8,0.2,0.973236294893737,0.973236294893737,750,0,0,neutral,0,1063.89842902522,1794.85118860509
18,104,1,38,-0.5,-0.5,-0.5,4,4,0.4,4,474,1,1,474,0,0,0.6,0.2,-1.03498744976383,-1.03498744976383,750,1,0,congruent,0,1913.02792459723,829.053338811615
18,104,1,39,-0.5,0.5,0,1,NaN,0.4,1,634,1,1,634,1,0,0.4,0.8,0.250275746817014,0.250275746817014,750,0,0,neutral,0.1,1551.85819733587,930.487326109578
18,104,1,40,0.5,0.5,-0.5,3,3,0.6,3,819,1,0,819,0,0,0.6,NaN,1.73636131786361,1.73636131786361,750,1,0,congruent,0,609.421835578819,683.446966492368
18,104,1,41,-0.5,0.5,0.5,2,1,0.4,1,771,0,0,NaN,0,0,0.2,0.8,1.35078235888936,NaN,750,1,0,incongruent,0,3571.41919946289,1541.94089960009
18,104,1,42,0.5,-0.5,0.5,4,2,0.4,4,666,1,1,666,1,0,0.2,NaN,0.507328386133182,0.507328386133182,750,0,0,incongruent,1,1617.30106327826,850.543934975434
18,104,1,43,-0.5,0.5,0,2,NaN,0.4,2,773,1,0,773,0,0,0.6,0.6,1.36684814884662,1.36684814884662,750,0,0,neutral,0,921.814118285662,1303.06091621785
18,104,1,44,-0.5,0.5,-0.5,1,1,0.2,1,606,1,1,606,1,0,0.6,0.4,0.025354687415367,0.025354687415367,750,1,0,congruent,0.1,1254.82774750355,292.857144789437
18,104,1,45,0.5,-0.5,0,3,NaN,0.4,3,758,1,0,758,0,0,0.6,NaN,1.24635472416717,1.24635472416717,750,0,0,neutral,0,1830.82113162644,880.218841387001
18,104,1,47,-0.5,-0.5,0.5,3,4,0.2,3,820,1,0,820,0,0,0.6,0.2,1.74439421284224,1.74439421284224,750,0,0,incongruent,0,824.700754783644,1478.64119607881
18,104,1,48,0.5,-0.5,-0.5,1,1,0.2,1,522,1,1,522,0,0,0.2,NaN,-0.649408490789574,-0.649408490789574,750,1,0,congruent,0,1812.86977956862,1250.96768119245
18,104,1,49,0.5,-0.5,0,3,NaN,0.2,3,660,1,1,660,0,0,0.2,NaN,0.459131016261401,0.459131016261401,750,0,0,neutral,0,1193.56479403254,652.160920763351
18,104,1,50,-0.5,0.5,-0.5,4,4,0.2,4,380,1,1,380,1,0,0,0.4,-1.79007957775507,-1.79007957775507,750,1,0,congruent,0.1,566.289132075032,1708.01423169853
18,104,1,51,0.5,-0.5,0,1,NaN,0.4,1,614,1,1,614,0,0,0.2,NaN,0.089617847244409,0.089617847244409,750,0,0,neutral,0,687.665392086947,596.376068199767
18,104,1,52,-0.5,-0.5,0.5,2,3,0.4,2,698,1,1,698,0,0,0.2,0.2,0.76438102544935,0.76438102544935,750,0,0,incongruent,0,4848.23750641416,1008.66685722712
18,104,1,53,-0.5,0.5,-0.5,1,1,0.4,1,609,1,1,609,1,0,0.2,0.6,0.0494533723512577,0.0494533723512577,750,1,0,congruent,0.1,4323.72379656744,599.495175897945
18,104,1,54,-0.5,-0.5,0,2,NaN,0.6,2,639,1,1,639,0,0,0.4,0.2,0.290440221710165,0.290440221710165,750,0,0,neutral,0,1555.51527104602,949.61193495336
18,104,1,55,-0.5,0.5,-0.5,3,3,0.6,3,711,1,1,711,1,0,0.4,0.6,0.868808660171543,0.868808660171543,750,1,0,congruent,0.1,697.085231767332,2409.08238132271
18,104,1,56,-0.5,0.5,-0.5,2,2,0.8,2,711,1,1,711,1,0,0.4,0.8,0.868808660171543,0.868808660171543,750,1,0,congruent,0.1,531.008747659943,1304.81993992081
18,104,1,58,-0.5,-0.5,-0.5,4,4,0.8,4,349,1,1,349,1,0,0.6,0,-2.03909932209261,-2.03909932209261,750,1,0,congruent,0.1,1054.66865486773,288.70141126509
18,104,1,59,0.5,0.5,0.5,1,3,0.8,1,629,1,1,629,1,0,0.6,NaN,0.210111271923863,0.210111271923863,750,0,0,incongruent,1,569.187567018638,1826.30415035948
18,104,1,60,-0.5,0.5,-0.5,2,2,0.8,2,612,1,1,612,1,0,1,1,0.0735520572871485,0.0735520572871485,750,1,0,congruent,0.1,2341.41450134059,1855.13715036803
18,104,1,61,0.5,-0.5,-0.5,4,4,0.8,4,484,1,1,484,1,0,1,NaN,-0.954658499977524,-0.954658499977524,750,1,0,congruent,1,971.597949557775,531.833315600268
18,104,1,62,-0.5,0.5,-0.5,1,1,0.8,1,540,1,1,540,1,0,1.2,1,-0.50481638117423,-0.50481638117423,750,1,0,congruent,0.1,3474.1033133943,695.604927829192
18,104,1,63,0.5,-0.5,0,2,NaN,0.8,2,562,1,1,562,1,0,1.4,NaN,-0.328092691644364,-0.328092691644364,750,0,0,neutral,1,1891.48248333568,833.87850362418
18,104,1,64,-0.5,0.5,-0.5,4,4,0.8,4,681,1,1,681,1,0,1.6,1,0.627821810812636,0.627821810812636,750,1,0,congruent,0.1,1038.80606059985,1583.90477436022
18,104,1,65,-0.5,0.5,0,3,NaN,0.8,3,335,1,1,335,1,0,1.4,1,-2.15155985179343,-2.15155985179343,750,0,0,neutral,0.1,1331.69543794505,1380.06680842254
18,104,1,66,0.5,0.5,-0.5,1,1,1,1,544,1,1,544,1,0,1.4,NaN,-0.472684801259709,-0.472684801259709,750,1,0,congruent,1,2950.42262043391,1601.60904219738
18,104,1,67,0.5,0.5,0.5,3,4,1,3,589,1,1,589,1,0,1.4,NaN,-0.111204527221347,-0.111204527221347,750,0,0,incongruent,1,564.272760187353,1250.55934097434
