subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
11,104,1,1,-0.5,0.5,0.5,1,2,0.2,2,996,0,0,NaN,0,0,0,0,2.50942733239156,NaN,750,1,0,incongruent,0,1001.23288406336,774.862965105392
11,104,1,2,-0.5,-0.5,0.5,3,4,0.2,4,696,0,1,NaN,0,0,0,0,0.253816429691706,NaN,750,1,0,incongruent,0,1765.42230198338,2417.85246385317
11,104,1,3,0.5,-0.5,0,1,NaN,0.2,1,805,1,0,805,0,0,0,NaN,1.07335505767265,1.07335505767265,750,0,0,neutral,0,3193.19906377837,3484.44749877056
11,104,1,4,0.5,0.5,-0.5,4,4,0.2,4,585,1,1,585,1,0,0,NaN,-0.580759604307241,-0.580759604307241,750,1,0,congruent,1,3334.64801173902,2418.88133073635
11,104,1,5,0.5,-0.5,-0.5,3,3,0.3,1,829,0,0,NaN,0,0,0.4,NaN,1.25380392988864,NaN,750,0,1,congruent,0,1735.67262241726,2692.67288276729
11,104,1,6,-0.5,-0.5,-0.5,4,4,0.3,4,588,1,1,588,0,0,0.4,0,-0.558203495280242,-0.558203495280242,750,1,0,congruent,0,1776.01170658638,1727.40645601808
11,104,1,7,-0.5,-0.5,0.5,2,1,0.3,1,921,0,0,NaN,0,0,0.4,0,1.9455246067166,NaN,750,1,0,incongruent,0,6418.62013263582,11673.5684806538
11,104,1,8,0.5,-0.5,0,3,NaN,0.3,2,682,0,1,NaN,0,0,0.4,NaN,0.148554587565713,NaN,750,0,1,neutral,0,8580.10682586732,2893.39630995879
11,104,1,9,0.5,-0.5,-0.5,2,2,0.3,2,706,1,1,706,0,0,0.4,NaN,0.329003459781702,0.329003459781702,750,1,0,congruent,0,4464.04969165842,2502.83398598622
11,104,1,12,-0.5,-0.5,-0.5,3,3,0.3,2,863,0,0,NaN,0,0,0.4,0,1.50943983219463,NaN,750,0,1,congruent,0,2625.0318484727,5337.30921074369
11,104,1,13,0.5,-0.5,-0.5,4,4,0.3,4,677,1,1,677,0,0,0.4,NaN,0.110961072520715,0.110961072520715,750,1,0,congruent,0,1418.42788710074,1767.3449141016
11,104,1,14,-0.5,-0.5,-0.5,1,1,0.3,1,913,1,0,913,0,0,0.4,0,1.8853749826446,1.8853749826446,750,1,0,congruent,0,1829.37700060217,8251.56263588953
11,104,1,15,-0.5,-0.5,-0.5,4,4,0.3,4,576,1,1,576,0,0,0.4,0,-0.648427931388237,-0.648427931388237,750,1,0,congruent,0,2810.16544802471,1291.26669070449
11,104,1,17,-0.5,0.5,-0.5,1,1,0.3,1,669,1,1,669,1,0,0,0,0.0508114484487193,0.0508114484487193,750,1,0,congruent,0.1,1827.60709175133,4229.34525158814
11,104,1,18,0.5,-0.5,-0.5,4,4,0.4,4,598,1,1,598,0,0,0.2,NaN,-0.483016465190247,-0.483016465190247,750,1,0,congruent,0,1531.88684159018,1823.98370358581
11,104,1,19,-0.5,-0.5,0,3,NaN,0.4,2,989,0,0,NaN,0,0,0.2,0,2.45679641132857,NaN,750,0,1,neutral,0,5918.57811673538,3525.69752426244
11,104,1,20,0.5,-0.5,0.5,4,1,0.4,4,944,1,0,944,0,0,0.2,NaN,2.11845477592359,2.11845477592359,750,0,0,incongruent,0,1915.16733896506,1853.43659520992
11,104,1,21,0.5,0.5,0,2,NaN,0.4,2,701,1,1,701,1,0,0.2,NaN,0.291409944736704,0.291409944736704,750,0,0,neutral,1,17891.1845005176,12252.0848403031
11,104,1,22,0.5,0.5,-0.5,1,1,0.6,1,724,1,1,724,1,0,0.6,NaN,0.464340113943693,0.464340113943693,750,1,0,congruent,1,1763.00359557864,8518.97399776882
11,104,1,23,-0.5,0.5,-0.5,4,4,0.8,4,564,1,1,564,1,0,0.8,0.2,-0.738652367496231,-0.738652367496231,750,1,0,congruent,0.1,2640.73596152985,3093.29803466409
11,104,1,24,-0.5,-0.5,-0.5,3,3,0.8,3,905,1,0,905,1,0,1,0,1.82522535857261,1.82522535857261,750,1,0,congruent,0.1,5013.8432066043,822.52274913495
