subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
3,104,1,1,0.5,0.5,0,4,NaN,0.4,4,592,1,1,592,1,0,0,NaN,-0.743321199844042,-0.743321199844042,750,0,0,neutral,1,2786.43672731446,1305.84853443702
3,104,1,2,0.5,0.5,-0.5,2,2,0.4,2,787,1,0,787,0,0,0.4,NaN,0.771712192238202,0.771712192238202,750,1,0,congruent,0,4760.93828558165,3382.05650282521
3,104,1,3,-0.5,0.5,0.5,1,3,0.4,3,650,0,1,NaN,0,0,0.4,0,-0.292695883224708,NaN,750,1,0,incongruent,0,7590.20734125445,13596.1263740011
3,104,1,4,-0.5,-0.5,0.5,3,4,0.3,3,772,1,0,772,0,0,0.4,0,0.65517116207803,0.65517116207803,750,0,0,incongruent,0,2389.96648382426,10387.7866446327
3,104,1,6,-0.5,0.5,-0.5,4,4,0.2,4,739,1,1,739,1,0,0.4,0,0.39878089572565,0.39878089572565,750,1,0,congruent,0.1,8881.9501791541,14295.5028597336
3,104,1,7,-0.5,-0.5,0.5,2,1,0.4,2,746,1,1,746,1,0,0.2,0,0.453166709800397,0.453166709800397,750,0,0,incongruent,0.1,2751.34402951296,3218.63952003959
3,104,1,8,-0.5,-0.5,0.5,1,2,0.4,1,672,1,1,672,0,0,0.4,0.2,-0.121769038989788,-0.121769038989788,750,0,0,incongruent,0,3024.19351478849,17528.7766242196
3,104,1,9,0.5,-0.5,-0.5,4,4,0.4,4,699,1,1,699,1,0,0.4,NaN,0.0880048152985226,0.0880048152985226,750,1,0,congruent,1,2295.23797217346,8103.35093525192
3,104,1,10,0.5,-0.5,0,2,NaN,0.4,2,764,1,0,764,0,0,0.8,NaN,0.593015945992604,0.593015945992604,750,0,0,neutral,0,16848.6638871352,2962.63498971405
3,104,1,11,-0.5,-0.5,0.5,4,1,0.4,4,707,1,1,707,0,0,0.8,0.2,0.150160031383948,0.150160031383948,750,0,0,incongruent,0,8623.80320694204,13614.091646103
3,104,1,12,-0.5,0.5,0,1,NaN,0.4,1,740,1,1,740,1,0,0.6,0.2,0.406550297736328,0.406550297736328,750,0,0,neutral,0.1,4332.73593309628,6364.73564942859
3,104,1,14,-0.5,0.5,0,1,NaN,0.4,1,921,1,0,921,0,0,0.6,0.4,1.81281206166908,1.81281206166908,750,0,0,neutral,0,2021.39629718567,14551.8672512798
3,104,1,15,0.5,-0.5,-0.5,3,3,0.4,3,735,1,1,735,1,0,0.2,NaN,0.367703287682937,0.367703287682937,750,1,0,congruent,1,4531.99822328571,4840.31321949986
3,104,1,16,0.5,0.5,0.5,4,2,0.4,4,678,1,1,678,1,0,0.6,NaN,-0.0751526269257191,-0.0751526269257191,750,0,0,incongruent,1,3781.29905698641,14827.2283872833
3,104,1,17,-0.5,-0.5,0,2,NaN,0.6,2,804,1,0,804,1,0,1,0.2,0.903792026419731,0.903792026419731,750,0,0,neutral,0.1,8589.36238480781,8309.10276569926
3,104,1,18,0.5,-0.5,-0.5,4,4,0.6,4,759,1,0,759,1,0,1,NaN,0.554168935939213,0.554168935939213,750,1,0,congruent,1,4039.13617829373,13344.1195052748
3,104,1,19,0.5,-0.5,-0.5,3,3,0.6,3,597,1,1,597,1,0,1.4,NaN,-0.704474189790651,-0.704474189790651,750,1,0,congruent,1,2907.99741141521,8021.51380656413
3,104,1,21,-0.5,-0.5,-0.5,1,1,0.6,1,645,1,1,645,1,0,1.4,0.2,-0.331542893278099,-0.331542893278099,750,1,0,congruent,0.1,7609.0918458283,4083.71779445236
3,104,1,22,-0.5,-0.5,-0.5,2,2,0.6,2,566,1,1,566,1,0,1.2,0.4,-0.945325652121675,-0.945325652121675,750,1,0,congruent,0.1,4520.38095746024,5585.94392126028
3,104,1,23,0.5,0.5,0,3,NaN,0.6,3,672,1,1,672,1,0,1.2,NaN,-0.121769038989788,-0.121769038989788,750,0,0,neutral,1,4888.74521070667,2451.54847956218
3,104,1,24,0.5,-0.5,-0.5,2,2,0.8,2,785,1,0,785,1,0,1.2,NaN,0.756173388216846,0.756173388216846,750,1,0,congruent,1,8899.99890851732,7532.39391598693
3,104,1,25,0.5,0.5,0.5,1,4,0.8,4,659,0,1,NaN,0,0,1.2,NaN,-0.222771265128604,NaN,750,1,0,incongruent,0,9942.60925603409,1609.6700043501
3,104,1,26,-0.5,-0.5,0.5,3,1,0.6,3,692,1,1,692,1,0,1.2,0.6,0.0336190012237754,0.0336190012237754,750,0,0,incongruent,0.1,11900.5034186314,10654.7350034052
3,104,1,27,0.5,-0.5,0,2,NaN,0.6,2,818,1,0,818,0,0,1.2,NaN,1.01256365456923,1.01256365456923,750,0,0,neutral,0,4083.92030761873,9171.50384878247
3,104,1,28,0.5,-0.5,-0.5,4,4,0.6,4,962,1,0,962,1,0,1,NaN,2.13135754410688,2.13135754410688,750,1,0,congruent,1,3034.42752462204,5978.67090855775
3,104,1,29,0.5,0.5,0,2,NaN,0.6,2,866,1,0,866,0,0,1,NaN,1.38549495108178,1.38549495108178,750,0,0,neutral,0,3168.90679339868,6028.61290049338
3,104,1,31,-0.5,-0.5,-0.5,4,4,0.4,4,649,1,1,649,0,0,0.6,0.8,-0.300465285235386,-0.300465285235386,750,1,0,congruent,0,16514.876232421,19855.8134487798
3,104,1,32,0.5,-0.5,-0.5,3,3,0.4,3,581,1,1,581,1,0,0.4,NaN,-0.828784621961502,-0.828784621961502,750,1,0,congruent,1,4884.59649545362,9590.99706188707
3,104,1,33,0.5,0.5,-0.5,1,1,0.4,1,714,1,1,714,1,0,0.8,NaN,0.204545845458695,0.204545845458695,750,1,0,congruent,1,1008.6397012983,2086.97021784402
3,104,1,34,-0.5,-0.5,0,2,NaN,0.4,2,628,1,1,628,0,0,0.8,0.6,-0.463622727459628,-0.463622727459628,750,0,0,neutral,0,3274.7080312843,98778.2926598887
3,104,1,35,-0.5,-0.5,0.5,3,1,0.4,3,763,1,0,763,0,0,0.8,0.6,0.585246543981926,0.585246543981926,750,0,0,incongruent,0,2397.30814785965,1151.20423847058
3,104,1,36,-0.5,-0.5,0.5,2,4,0.4,4,765,0,0,NaN,0,0,0.8,0.4,0.600785348003282,NaN,750,1,0,incongruent,0,14331.4896654873,11927.5615489664
3,104,1,37,-0.5,0.5,0.5,3,2,0.4,3,918,1,0,918,0,0,0.8,0.4,1.78950385563704,1.78950385563704,750,0,0,incongruent,0,2452.03737219732,1874.26942592791
3,104,1,38,0.5,0.5,0.5,4,1,0.2,4,898,1,0,898,0,0,0.4,NaN,1.63411581542348,1.63411581542348,750,0,0,incongruent,0,2089.46341322978,8384.11002970349
3,104,1,39,0.5,0.5,0,2,NaN,0.2,2,715,1,1,715,1,0,0,NaN,0.212315247469373,0.212315247469373,750,0,0,neutral,1,4419.29016951648,21970.519360976
3,104,1,40,-0.5,-0.5,-0.5,4,4,0.4,4,671,1,1,671,1,0,0.4,0.2,-0.129538441000466,-0.129538441000466,750,1,0,congruent,0.1,12298.3568489451,3096.87959102536
3,104,1,41,-0.5,-0.5,-0.5,2,2,0.4,1,555,0,1,NaN,1,0,0.6,0.2,-1.03078907423913,NaN,750,0,1,congruent,0.1,10507.7731206637,2905.97073447617
3,104,1,42,0.5,0.5,0.5,4,1,0.4,4,731,1,1,731,1,0,0.8,NaN,0.336625679640224,0.336625679640224,750,0,0,incongruent,1,7285.08955282051,3838.67367117789
3,104,1,44,-0.5,0.5,0,4,NaN,0.6,4,505,1,1,505,1,0,1.6,0.4,-1.41925917477304,-1.41925917477304,750,0,0,neutral,0.1,7666.32648012958,5642.56952706282
3,104,1,45,0.5,-0.5,-0.5,2,2,0.6,2,823,1,0,823,1,0,1.4,NaN,1.05141066462262,1.05141066462262,750,1,0,congruent,1,14727.025628039,19066.9210885508
3,104,1,46,0.5,0.5,0.5,1,3,0.6,1,988,1,0,988,0,0,1.6,NaN,2.33336199638452,2.33336199638452,750,0,0,incongruent,0,1553.23016775583,5798.98944602257
3,104,1,48,0.5,0.5,0,3,NaN,0.6,3,639,1,1,639,1,0,1,NaN,-0.378159305342168,-0.378159305342168,750,0,0,neutral,1,8966.96285867121,3397.3328411318
3,104,1,49,-0.5,0.5,-0.5,2,2,0.6,2,683,1,1,683,1,0,1,0.6,-0.0363056168723282,-0.0363056168723282,750,1,0,congruent,0.1,3727.45431103488,5060.9535997127
3,104,1,51,-0.5,0.5,-0.5,2,2,0.6,1,801,0,0,NaN,0,0,0.6,0.6,0.880483820387697,NaN,750,0,1,congruent,0,12453.3163364064,3026.5742400214
3,104,1,53,0.5,0.5,-0.5,4,4,0.4,4,778,1,0,778,0,0,0.8,NaN,0.701787574142099,0.701787574142099,750,1,0,congruent,0,3606.00431713473,15401.8878855458
3,104,1,54,-0.5,0.5,-0.5,2,2,0.4,2,757,1,0,757,0,0,0.4,0.4,0.538630131917857,0.538630131917857,750,1,0,congruent,0,4075.3796379796,3653.51613730348
3,104,1,56,0.5,0.5,-0.5,2,2,0.2,2,748,1,1,748,1,0,0.2,NaN,0.468705513821753,0.468705513821753,750,1,0,congruent,1,13565.890561071,4874.08725928422
3,104,1,58,-0.5,0.5,-0.5,1,1,0.2,1,909,1,0,909,0,0,0.4,0.2,1.71957923754094,1.71957923754094,750,1,0,congruent,0,2916.46820702946,1847.18230029989
3,104,1,59,0.5,-0.5,0.5,2,3,0.2,2,748,1,1,748,0,0,0.4,NaN,0.468705513821753,0.468705513821753,750,0,0,incongruent,0,3887.21664056071,12282.4416416184
3,104,1,60,0.5,0.5,0.5,3,4,0.2,3,723,1,1,723,1,0,0.4,NaN,0.274470463554799,0.274470463554799,750,0,0,incongruent,1,4526.4401495144,2653.23240161848
3,104,1,61,0.5,0.5,0,1,NaN,0.4,1,500,1,1,500,1,0,0.8,NaN,-1.45810618482643,-1.45810618482643,750,0,0,neutral,1,2352.97382535775,4546.68370606233
3,104,1,62,0.5,0.5,-0.5,2,2,0.6,2,470,1,1,470,1,0,0.8,NaN,-1.69118824514678,-1.69118824514678,750,1,0,congruent,1,3594.9510673975,2169.05293384152
3,104,1,63,0.5,0.5,0.5,3,1,0.6,3,641,1,1,641,1,0,1.2,NaN,-0.362620501320812,-0.362620501320812,750,0,0,incongruent,1,6992.67122899773,6552.87714308656
3,104,1,64,0.5,0.5,0,1,NaN,0.8,1,616,1,1,616,1,0,1.6,NaN,-0.556855551587766,-0.556855551587766,750,0,0,neutral,1,2479.09184010063,6529.57842711298
3,104,1,65,0.5,-0.5,-0.5,3,3,1,3,527,1,1,527,1,0,2,NaN,-1.24833233053812,-1.24833233053812,750,1,0,congruent,1,5334.05875233338,2719.41093495934
3,104,1,66,-0.5,0.5,-0.5,2,2,1,2,528,1,1,528,1,0,2,0,-1.24056292852745,-1.24056292852745,750,1,0,congruent,0.1,4688.70640366731,6653.55328024881
