subid,vers,block,trial,rewlvl,efflvl,congruency,targetresp,distractorresp,rollingefflvl,resp,rt,acc,fast,accrt,isrewarded,ismiss,runavgrrgen,runavgrrcond,zrt,acczrt,rtthreshold,isdisterror,isranderror,congruence,feedback,fcz_resp_theta,fcz_resp_theta_baseline
14,104,1,132,-0.5,0.5,-0.5,1,1,0.6,1,657,1,1,657,1,0,1,0.6,-0.342749081336029,-0.342749081336029,750,1,0,congruent,0.1,2580.08900385021,1282.82052522839
14,104,1,133,0.5,-0.5,0,4,NaN,0.8,4,800,1,0,800,1,0,1.2,NaN,0.807953088725058,0.807953088725058,750,0,0,neutral,1,1585.82922986671,1416.2196732447
14,104,1,134,0.5,-0.5,0.5,2,1,0.8,2,649,1,1,649,1,0,1.4,NaN,-0.407124027912873,-0.407124027912873,750,0,0,incongruent,1,1066.23923310085,1108.59223424756
14,104,1,135,0.5,0.5,0,1,NaN,0.8,1,809,1,0,809,0,0,1.8,NaN,0.880374903624008,0.880374903624008,750,0,0,neutral,0,1075.45595903242,1650.82037714518
14,104,1,136,0.5,0.5,0.5,3,4,0.6,3,628,1,1,628,1,0,1.4,NaN,-0.576108262677088,-0.576108262677088,750,0,0,incongruent,1,1441.36778107377,1470.21792243494
14,104,1,138,0.5,-0.5,0.5,1,2,0.6,1,782,1,0,782,1,0,1.2,NaN,0.663109458927159,0.663109458927159,750,0,0,incongruent,1,8633.84474834151,1353.85584846817
14,104,1,139,0.5,0.5,0.5,3,1,0.6,3,599,1,1,599,1,0,1.2,NaN,-0.809467444018148,-0.809467444018148,750,0,0,incongruent,1,1844.27965929189,955.076034416796
14,104,1,140,0.5,-0.5,-0.5,2,2,0.6,2,577,1,1,577,1,0,1.2,NaN,-0.986498547104469,-0.986498547104469,750,1,0,congruent,1,5536.80321586312,2473.40579239279
14,104,1,141,0.5,0.5,0,4,NaN,0.6,3,798,0,0,NaN,0,0,1.6,NaN,0.791859352080847,NaN,750,0,1,neutral,0,3314.0951659601,1273.55953783262
14,104,1,142,-0.5,-0.5,-0.5,1,1,0.4,1,891,1,0,891,1,0,1.2,0.4,1.54021810603666,1.54021810603666,750,1,0,congruent,0.1,750.007999120787,958.09328173264
14,104,1,143,0.5,-0.5,0.5,4,3,0.4,4,834,1,0,834,1,0,1.4,NaN,1.08154661167665,1.08154661167665,750,0,0,incongruent,1,1801.40137034892,1047.8013702832
14,104,1,144,-0.5,0.5,-0.5,2,2,0.4,2,686,1,1,686,1,0,1.4,0.6,-0.109389899994969,-0.109389899994969,750,1,0,congruent,0.1,1235.74670484462,1815.7585621904
14,104,1,145,-0.5,-0.5,0.5,3,1,0.6,3,587,1,1,587,1,0,1.2,0.6,-0.906029863883414,-0.906029863883414,750,0,0,incongruent,0.1,1682.55006136193,1718.18608782969
14,104,1,146,-0.5,-0.5,0.5,4,3,0.6,4,715,1,1,715,1,0,1,0.6,0.12396928134609,0.12396928134609,750,0,0,incongruent,0.1,1710.42595813932,3840.70853361835
14,104,1,147,0.5,0.5,0,3,NaN,0.6,3,594,1,1,594,1,0,1.2,NaN,-0.849701785628676,-0.849701785628676,750,0,0,neutral,1,1318.20302252512,3115.83352750094
14,104,1,148,-0.5,0.5,0.5,1,4,0.6,1,871,1,0,871,0,0,1.4,0.8,1.37928073959455,1.37928073959455,750,0,0,incongruent,0,1795.41096179272,1525.94548438585
14,104,1,149,-0.5,-0.5,-0.5,2,2,0.6,2,706,1,1,706,1,0,1,0.6,0.0515474664471409,0.0515474664471409,750,1,0,congruent,0.1,2109.21348794043,983.889715677698
14,104,1,150,-0.5,-0.5,0.5,1,4,0.6,1,962,1,0,962,0,0,1,0.8,2.11154575690615,2.11154575690615,750,0,0,incongruent,0,871.298836352046,975.089246016248
14,104,2,151,-0.5,0.5,-0.5,3,3,0.6,3,653,1,1,653,1,0,0.8,0.6,-0.374936554624451,-0.374936554624451,750,1,0,congruent,0.1,936.742125251956,1344.8578149073
14,104,2,152,0.5,0.5,0,1,NaN,0.6,1,700,1,1,700,1,0,0.8,NaN,0.00326625651450791,0.00326625651450791,750,0,0,neutral,1,957.462287673835,472.191300885912
14,104,2,153,0.5,-0.5,-0.5,2,2,0.8,2,681,1,1,681,1,0,0.8,NaN,-0.149624241605497,-0.149624241605497,750,1,0,congruent,1,735.218383356156,1795.4917102366
14,104,2,154,-0.5,-0.5,0.5,1,4,0.8,1,653,1,1,653,0,0,1.2,0.8,-0.374936554624451,-0.374936554624451,750,0,0,incongruent,0,1145.51699785245,4011.614886665
14,104,2,155,-0.5,0.5,0.5,2,3,0.8,2,778,1,0,778,0,0,1,0.6,0.630921985638737,0.630921985638737,750,0,0,incongruent,0,2950.36990044376,1278.91378430395
